c2500001,s2,the room was not too clean but still good and spacious with complete amenities,[room][0],[amenities][0],,,,,,
c2500002,s9,Free shuttle buses to various destinations including other hotels in Cotai,[shuttle bus][0],,,,,,,
c2500002,s11,Checked in 1pm and room was ready,[Checked in][0],[room][0],,,,,,
c2500002,s12,Complimentary check out at 2pm which was very welcome,[check out][0],,,,,,,
c2500002,s14,Large room with lounge,[room][0],,,,,,,
c2500004,s2,The room is very large and well equipped,[room][0],,,,,,,
c2500004,s3,Breakfast is very very normal and not a WOW comparing to other five star hotels ,[Breakfast][0],,,,,,,
c2500004,s4,Hotel is really big and from room to main lobby takes 20 mins,[room][0],[main lobby][0],,,,,,
c2500005,s2,Check in at 1pm and not earlier even when rooms are available is not accommodating guests,[Check in][0],[rooms][0],,,,,,
c2500006,s4,"I also have requested for this service and when I arrived at the lobby, I slowly approached the front desk staff then she stopped me and yelled at me saying I cant go to front desk",[service][0],[lobby][0],[front desk staff][0],,,,,
c2500007,s5,"When arriving in the main lobby it was completely chaotic, noisy and again not what I would expect from a five star property",[main lobby][-],,,,,,,
c2500007,s6,The Check in queue was long and took forever to be served,[Check in][0],,,,,,,
c2500007,s7,The rooms are big ,[rooms][0],,,,,,,
c2500007,s8,Our so called non-smoking room had a strong smell of smoke and even had an ash tray,[non-smoking room][-],[smell][-],,,,,,
c2500008,s4,The room sizes are also big enough for stay,[room sizes][0],,,,,,,
c2500008,s5,"The service is not too fast, but acceptable, considering the size of hotel",[service][0],,,,,,,
c2500009,s2,However English skills were not great with the majority of staff aside from check-in,[staff][-],[check-in][-],,,,,,
c2500009,s7,"There was a pool area, but due to illness was unable to make use of it",[pool area][0],,,,,,,
c2500010,s1,Its a massive hotel you walk to Many corridor to arrive somewhere,[corridor][0],,,,,,,
c2500010,s4,Breakfast was terrible,[Breakfast][-],,,,,,,
c2500010,s5,"Like 2 stars hotel bad quality food, poor choice better to go to starbuck than there",[quality food][0],[choice][0],,,,,,
c2500010,s6,"Room are  big suite, very Clean bathroom and view",[Room][0],[suite][0],[bathroom][0],[view][0],,,,
c2500010,s7,To access in swimming pool you have to be courageous you have to walk 15 or 20 min in huge corridor to access in garden,[swimming pool][0],[corridor][0],,,,,,
c2500010,s8,Swimming pool are small but Many Like swimming in alcov Its more confidential,[swimming pool][0],,,,,,,
c2500010,s9,Bar on swimming was closed,[Bar][0],[swimming][0],,,,,,
c2500012,s3,with lots of shopping ( expensive) snd connected to other resorts,[shopping][0],[resorts][0],,,,,,
c2500012,s4,"however breakfast was average, pool takes ages to reach and not much fun",[breakfast][0],[pool][0],,,,,,
c2500014,s2,Getting from the front door to our hotel room lift always involved a battle of managing our way for the long walk through hundreds of people in the casino,[front door][0],[room lift][0],,,,,,
c2500014,s4,note our room was very big and the room service normal ,[room][0],[room service][0],,,,,,
c2500014,s5,However the bed was hard and we did what we could to make it softer,[bed][-],,,,,,,
c2500015,s4,Suites are big and very clean and well maintained,[Suites][0],,,,,,,
c2500015,s8,Food was prepared for large crowds,[Food][0],,,,,,,
c2500015,s10,The staff are using machines to dry the carpets,[staff][0],[carpets][0],,,,,,
c2500016,s2,service on the gaming floor is very average,[service][0],,,,,,,
c2500016,s3,I had the service light on for over 15 minutes to get some water,[service light][0],[water][0],,,,,,
c2500016,s6,I visited about half a dozen casinos during my time here and this was the absolute worst in terms of service,[service][-],,,,,,,
c2500018,s2,the room are clean,[room][0],,,,,,,
c2500020,s2,"The rooms are extremely spacious but ""dated""",[rooms][0],,,,,,,
c2500020,s4,"The beds are huge and the mattresses are medium-hard, yet comfortable",[beds][0],[mattresses][0],,,,,,
c2500021,s1,The hotel room was big and with average facilities,[room][0],[facilities][0],,,,,,
c2500022,s5,The rooms are nice an clean,[rooms][0],,,,,,,
c2500023,s2,The suites are roomy ,[suites][0],,,,,,,
c2500025,s1,"we Had a suitem, place is extremely busy and very BIG",[suitem][0],,,,,,,
c2500026,s1,We booked the Premio Bella Suite,[Suite][0],,,,,,,
c2500026,s2,"Overall the room is average,  we got  the 2 double beds and with a large sofa",[room][0],[double beds][0],[sofa][0],,,,,
c2500026,s3,"The room is clean, bathroom has a vanity console table  and a separate bathtub and toilet",[room][0],[bathroom][0],[bathtub][0],[toilet][0],,,,
c2500027,s3,The room is huge with 2 queen bed and living room,[room][0],[quene bed][0],[living room][0],,,,,
c2500027,s6,I got option to have my international breakfast or chinese lunch and opted to have chinese lunch,[option][0],[international breakfast][0],[chinese lunch][0],[chinese lunch][0],,,,
c2500028,s2,The huge rooms are the only thing positive about the place,[rooms][0],,,,,,,
c2500028,s3,Check in was ok,[check in][0],,,,,,,
c2500029,s3,"Maybe the hotel is too big and staff is too many, the service average is under expectation, but you cannot say it's low",[staff][0],[service][0],,,,,,
c2500032,s2,"As the hotel has my reservation record of 3 guests name, and the staff in front desk also acknowledge the information, I expect the hotel should get ready 3 sets of all amenities (such as tooth brush, towel, pillow, water, & most important slippers!) in the room before assigning or even check in the hotel",[staff][0],[front desk][0],[amenities][0],[tooth brush][0],[towel][0],[pillow][0],[water][0],[slippers][0]
c2500034,s3,"I booked directly on their website for one night, 2 queens beds that includes early 10am checkin and late 4pm check out",[queens beds][0],[checkin][0],[check out][0],,,,,
c2500035,s3,"The Venetian has so much to see and do, wide choice of restaurants, and entertainment options",[choice of restaurants][0],[entertainment options][0],,,,,,
c2500036,s2,"The room is spacious and mostly clean, except that the bed seems to have bed mites (I got two bites in my arm during my stay, asked the sheets to be changed twice but didn't happen), the room/curtains is a little dusty because it triggered my allergies, and the toilet doesn't seem to be cleaned that well because it doesn't smell so good even after housekeeping has supposed to be cleaned it",[room][0],[beds][-],[curtains][-],[toilet][-],[housekeeping][-],,,
c2500036,s3,The room service and housekeeping are average,[room service][0],[housekeeping][0],,,,,,
c2500036,s4,The gym is average with complete equipment and staff,[gym][0],[staff][0],,,,,,
c2500036,s5,The pool is  ok,[pool][0],,,,,,,
c2500037,s1,Beautiful and nice hotel with the front desk person ,[front desk][0],,,,,,,
c2500037,s2,The room  was big and clean,[room][0],,,,,,,
c2500037,s3,The bed was very comfortable and I had very good sleeps for two nights,[bed][0],,,,,,,
c2500037,s4,The only drawback for the room facility was water pressure was pretty low for the shower,[room facility][-],[water pressure][-],[shower][-],,,,,
c2500039,s3,You have to walk for a long time to search your room,[room][0],,,,,,,
c2500039,s5,Pool on one end which has a huge walking stretch,[Pool][0],,,,,,,
c2500039,s6,No proper sign board for how to reach the pool or gym   Room service takes very long maybe since the hotel is so spread out,[sign][-],[pool][0],[gym][0],[Room service][0],,,,
c2500039,s7,No personal touch at all,[personal touch][-],,,,,,,
c2500040,s2,"Security system should be upgraded, I think",[Security system][0],,,,,,,
c2500041,s6,Long queue and time for check-in,[queue][-],,,,,,,
c2500041,s10,Average breakfast,[breakfast][-],,,,,,,
c2500042,s1,"room very clean,wifi well connection, free mini bar ",[room][0],[wifi][0],[mini bar][0],,,,,
c2500043,s4,"However, the room is big and tidy",[room][0],,,,,,,
c2500043,s5,Check in and out process is quick,[Check in][0],,,,,,,
