Content,Rating
"Since our first stay in Mar 16, we have stayed here many times and always rated the hotel and staff highly, and been strong advocates recommending it to many friends. Unfortunately, our most recent stay was spoiled by a petty dispute on checkout, that was unwarranted, dragged on for almost half an hour and just unpleasant. We left with no resolution, the hotel refusing to budge. We have been patrons and advocates of this hotel, but not any more. Very unfortunate but lots of other great hotels in Macau, so looking forward to trying others.",20
"I have just finished my survey the hotel and as a silver HH member, I am just mad. This was our second stay and to be honest it will be our last in Macau. Points are you know what. The toilet clogged, we were not treated as members, the floors and carpets are awful and the worst...what is with the water situation? Like two small bottles for each person? I had to go the gym to get more water because there is no 7-11 to get anything because that is what the casinos have done in order for you to pay top dollar. Totaly unacceptable. I LOVE the Hilton and Conrad hotels but I am not staying here again.",20
We were allocated a room on a non smoking floor that smelled of smoke. It took the staff nearly an hour to find us a new room.  Watch out for the charges they levy if you pay by Amex. They are not upfront about these.,20
My worst stay in any 5 star hotel. Start with check in. The staff was a trainee we needed for check in over half an hour. Breakfast is right for a 2 star hotel. The internet was breaking down again and again. The air condition I was not able to control.,10
"starting from check in, the experience really bad. they cannot find one of our room and ask us to contact the travel agent. what kind of service is this FIVE star hotel.and after having a drink in its lobby bar. diarrhea and vomiting all night long. what a experience for us all!!!!",10
"While I start to write I am sitting in a suite room of conrad macau itself.    Excellent part -   room size and upkeep Few great servicing individuals like -  Achin and Tyra at exec lounge and gentlemen who checked us in -  forgetting his name and Jim at restro grand orbit,  casino downstairs and part of cotai Sands connected to venetian and parasian from level 2 in mall.  And yup also Ricky and Stephen at concierge and Edmund prior to our visit   Good part - upgraded to suite as a diamond member of honors   Poor and arrogance -  when you travel with an infant 18 months old you need some flexibility.  Which this place lacks big time -  comparably I am just coming from conrad Hong Kong and I can't mention how different in a good way and service standards were set by management of…",20
"I chose Conrad Macau because the overall comment on the internet is very high. I did have a high expectation to visit the hotel but….  We checked in at 3:05pm which was advised by the hotel that the room should be ready after 3pm. However, their staff told us we had to wait for another half an hour because our room was not ready?? We booked a Junior Suite which I believed this type of room shouldn't be that popular. I don't understand why it wasn't ready yet. After complaining to their manager, we then were offered to change another room. He said they ""upgraded"" us. But we found out it was still the same type of room but the only difference was ""1 King bed"" vs ""2 twin beds""???? I don't care about the upgrade. It made me surprised that the international hotel like Conrad couldn't…",20
I am currently staying in the Conrad Macau for a brief getaway. I travel internationally for work each week and have never had such a poor experience. The check-in counter was poorly staffed (HHonors Desk) and the agent rarely spoke English. I had asked if any upgrades were available and he said he would look. He then mentioned none are available because I arrived too late. I had reserved the king deluxe city-view room and went to my room to find this was not correct. I then went up to the 39th floor club lounge to speak to the concierge. He proceeded to tell me the hotel had too many gold and diamond members to accommodate my request. I have never experienced a Hilton property mention that you needed to show up earlier for the upgrade.   This is certainly not the number 1 hotel…,10
"Sorry Conrad you are not a 5 Star Hotel.  The reviews here actually confuse me.  For a real 5 star hotel just walk on over to the Four Seasons, St. Regis, or Ritz. The over all rating should still a four but because everyone puts this a 5 I feel something odd is going on here. My family booked 2 rooms here on a Sunday based on reviews on this site and ranking of #1 Hotel in Macao.  When we showed up at the hotel at 5:30PM the rooms were not ready yet and was told we would need to wait.  I explained that we had plans for that evening and needed to get checked in to change and go to dinner and show.  So the rather nice attendant inquired if we would be open to a 'smoking room'... whereupon I said absolutely not.  After about 10 minutes they decided to upgrade us to a 1 bedroom…",20
"I have stayed in this hotel for one night on July 1 with my family.  It was a terrible experience and i doubted this is a 5-star hotel quality.  When i arrived at the hotel at 11am, the reception staff told me the hotel was full and the room will be ready at 3pm.  I had also requested slippers for children on the spot.  However, when i came back at 3pm, the reception staff told me the room was still dirty and they even couldn't advise how long we had to wait to check-in.  Then, we waited at the lobby for another 1.5 hours without any updates from the staff.  We finally get into our room at 5pm until we rushed to the reception staff for updates.    In the room, we could not find the kid's slippers inside. Therefore, we called the ""personal service"" for the slippers again.  After…",10
"Bell boy is helpful.  HOWEVER, I was upset by the front desk and your hotline's colleague.   29/FEB is my wedding anniversary. I have requested a ""surprise"" during on-line booking. While checked in (on 28/FEB), front desk informed me that the "" surprise"" will be on 28/FEB/16. I corrected him immedialety and requested the ""surprise"" on 29/FEB/16  Unfortunately, a cake with the welcome letter delivered on 28/FEB/16. Even the name of my wife is stated wrongly in the envolpe.  I have written down my request during the on-line book via your website I have called the hotline before my jourary to double confirm the requested can be done on 29/FEB However, the surprise came 1 day before what i requested.    What a big surpise to me.",20
