Content,Rating
"This time I booked total 4 rooms staying with another 3 families. The check in reception looks sharpe and the check in staff is very nice and helpful.  Luckily all rooms are ready at around noon time and all have been upgraded to suite rooms which we love it. However my room has a burning smell which the staff claimed it is coming from the air conditioner. The staff didn’t offer me to switch to another room, my whole family has suffered the bad smell for 3 hours until the smell gone. I suggest the hotel to offer a room move immediately.  The pool is okay, a little smaller than I expected. I love the sunshine. We ordered some food and drink from the poolside bar yet the food took some time to prepare. I suggest to put more chairs and cabanas at the pool as we have to wait for…",20
"We were amazed by the quality of the hotel room. We were upgraded and we appreciate that. Being a Grand Hyatt member, we are happy to be part of the loyalty program.The location of the hotel is excellent.",10
"There are couple things not working well in the premier suite that I stayed at.  First, the curtain blind in the premier suite bedroom malfunction from the first day. I requested for technician checkup, they said it’s mechanical failure and cannot be fixed unless taking the whole blind off and will take quite a long time to fix.  Given I have another room reserved that’s connected to this premier suite, I was told there’s no availability on other floor during peak season,  and thus not able to change rooms.   I basically had the curtain blinds closed and unable to open it up manually, which basically I lost the bedroom view during the whole duration of the stay. Second, the TV in the living room of the premier suite is not functioning properly either, the sensor was pulled out…",10
"In comparing with other branches and leading competitors, it was boring and exhausted !! For the same price I got better options . Extra cost to Club was not justified. However staff was helpful. Expecially Randy.",20
"This Grand Hyatt is not the same standard as other Hyatt’s that I’ve stayed in. The check in process requires standing in a line for close to 30mins. No assistance was offered to help carry my two bags. The room whilst large was dated and showing wear. Nice bathroom products (Aromatherapy Associates). Here is why I’m upset with my experience. On my last night I arrived in from work at 3am and went to the front desk to ask a second time to arrange a late check out. I was given two excuses why this is not possible. The first being it was a Saturday (check out time is 11am, check in time is 3pm regardless of weekday or weekend) so I asked if they could make an exception. I requested 1:30pm and was told no. I was not even offered the option of paying to extend. The second excuse was…",10
"Checkin date 8/12/2019  Poor experience since checkin: When we booked the hotel thru online agent, as the booking system didn’t allow us to confirm the bed type, which we expected to have a king size bed, hotel was unable to provide the king size bed room unless we pay more (around MOP 2xx) to have deluxe room. We accepted the offer at all.  When I used the hotel key card to open the door lock, it was failure. We requested the housekeeper assist us to open the room to download our luggages before we went to front desk counter to fix the card. Of course, housekeeper didn’t open the door until she verified our personal information with front desk counter.  Finally the hotel fixed the door lock issue after changing the key cards for 4 TIMES, we were frustrated that why the front…",10
"I visited Macau with my husband last weekend and stayed at Grand Hyatt for 1 night. We booked a single bedroom but it was upgraded to a suite when we checked-in. I was glad that our room was upgraded. My husband sat in the bed to play the mobile phone game and I unpacked our luggage after we got in the room. Then we went out for dinner and listened to a concert. My husband discovered his hand was bitten by flea when we left the hotel room. After the concert, we had some dessert at their cafe in the lobby.  I ordered a stewed pear but I waited for 45 minutes after I made the order. I was disappointed as it was too sweet and the pear was not soft. Then we went to our room and slept after shower. My right underarm was itchy and I woke up in the midnight. I found that I was bitten…",10
The Macau provide good transportation.  It is all free.  The hyatt macau would make me back again.  Restaurants  in side and out side the hotel are good.  The air in the hotel is fresh makes you stay longer.,10
"I am absolutely disappointed by this hotel. First, everyone can log onto the Internet leading to terrible Internet connection in the evening. I I am coming to Macau for a business trip and the hotel screws me up badly. Second, customers in the lounge speak loud and no one stops them! Third, don’t even wanna mention about it...",10
I booked this hotel for 3 nights and checked out after the first night  Rooms are comfortable and clean however the hotel had zero class many staff cannot understand English .  The quality of the room service was atrocious mistakes resulted i nwaiting one hour for food.  Breakfast also very basic poor coffee and poor service the quality of staff is so far below the wynn Palace opposite .  No reason to stay in this hotel as Macau has far better hotels .,20
