Content,Rating
"First time to Grand Hyatt to celebrate my birthday, but the entire experience doesn't match my expectation.  Good things to mention: -A male staff/porter at lobby is very proactive, he direct us to the elevator when we were confused about direction. -Room is big enough for 2 person with a dining table and sofa.  -We are coming for birthday celebration, the staffs arrange a small birthday cake during turn-down.  Few things I also want to mention: -No one escort to room and no introduction to any facilities. We have to find out by ourselves which is not convenience at all and takes times. -When I ask the schedule about house of dancing water show at concierge, a lady in concierge just want to pass me to the counter of the show center without patient. -I booked 2 days book the key…",30
"They overcharged me upon check out.  With a final folio showing 10,400 Macau dollars for five nights - what they posted as a final charge to American Express was 13,000 Macau dollars.  Unbelievable and unacceptable.  Their accounting people are utterly careless and incompetent.  I am not talking about the authorized hold - I am talking about what ended up on my Amex account as ""posted"" charge.",30
"The entire experience was fine. However, I’m just a bit disappointed to the HSKP here. I was in rush to take a shower before departure and I just figured out that there was no Bath Gel in my room. Instead, I got TWO body lotions (one in the shower and the other next to the sink).   Anw, if you are reading this, please check ur bath gel when u get into the room!! ",30
"No warm welcome. Check-in was slow. Despite the multiple counter tables, there's only one in operation with three or four check-in staff working. Each receptionist took their own sweet time handling the guests, without noticing the line that was building up.   After a while, we realized there's a separate counter for World of Hyatt. We stood behind the counter for quite a while, it was not manned, nobody came and approach us for assistance. We were attended only when we told one of the staff that we are a member. The treatment suddenly changed drastically from being rather ignorant to super attentive.  Though the guest room need serious upgrading work, it was in clean good condition and bed was comfortable.  F&B service needs serious improvement. Table given to us during…",30
The hotel is at the far end of COD but still quite convenient moving around by foot. We had a suite and the room is big and spacious. All basic facilities are there but the hotel is a bit aged lacking some updated basics such as USB plugs and air con in our room was very noisy.  But all in all it good value for money and upkeeping with the service you expect from a Grand Hyatt. ,30
"It ticks all the boxes of a 5-star property. But that is it. The staff are professional. Will answer all your queries. But no warmth. A note to housekeeping to make up the room in the afternoon was not followed up with. A return to the hotel at 3:30pm to find the room still not made up. A call to reception to just replenish water and shower gel was was obliged verbally. But after a 30-min wait, there’s still no water and shower gel.   Went to the lobby to buy a piece of chocolate. However, the lady attended to us seemed to hate her job. every question was met with a long face. I had to tell her how much it cost after tax, rather than the other way round.   However, we dined at the beijing kitchen. Peking duck was one of the best and Vicki, the restaurant manager was perfect in…",30
"Stayed for two nights. Paid extra Amount to upgrade the room and breakfast at club lounge. Club lounge was in another tower and has to change the lift at level 3. Got to level 3, staffs here do not know the direction unable to give us a proper guidance. A chef was asking Host at mezza 9 to assist, host replied ask the guest to come here and ask. Wow~... nice service. Room cutleries have stains, bath tub looks dirty with stains. Breakfast at lounge was disappointing. Little selection. A short hair wearing suit lady looks stern and rough when clearing our soiled on table. Chef at egg station was not approachable at all and reply was unwilling. Never again for the price I paid!",30
"I was on a trip with my cousin's family to Macau during the new year of 2019. My cousin booked 3 non-smoking rooms with the Grand Club access for 5D4N. We were really excited and looking forward to a high standard of service and quality as it is a 5 star hotel with many good reviews.   However, it was a slightly disappointing experience with this hotel. The check in process was rather slow even though there weren’t many guests. Also, the receptionist failed to tell us to go up to the 37th floor to check in in the beginning. The lobby was elegant but it is a bit odd to find there was no seating area for guests to relax.   The major issue of this hotel is the cigarette smoke smell in their non-smoking rooms. My room reeked of cigarette smoke. We are sensitive to it and requested…",30
"The room is decent with a nice view of the Wynn Palace fountain show (note you can hear the sound of the show every 20mins in the evening). We booked a non-smoking twin room with an extra bed for our family. However, they ran out of non-smoking rooms and decided to put us into a smoking room with double bed without informing us. It wasn’t until we called to complain that they admitted their mistake. There was no twin room left so we got put into a non-smoking double room, which still smelled of smoke. It was already late so we accepted it.  We tried to change the room again the next day but was informed that there was no room available.   It’s a bit disappointing to have the mistake and not be informed of the change. Traveling with children, we are particularly sensitive to the…",30
"A colleague and I stayed at the Grand Hyatt Macau for two nights on two separate non smoking floors. Both of these designated floors reeked of cigarette smoke. The smell was so strong in the bedroom of my suite, the unworn clothes I unpacked from my suitcase when I got home to Sydney, smelled of smoke.   Check in was ridiculously slow. Not sure what the check in agent was looking at on her screen but from the time we handed over the credit card,  it took a good 10 minutes to be given the key.   We asked the concierge, who was a Clef D’or member, for dining options but he really had difficulty following our requests. Not a language barrier, just disinterested in listening.   On the plus side, the position is excellent, the views of the Wynn fountains appealing and the staff are…",30
