Content,Rating
"It’s our second time staying in this hotel. Last stay was not pleasant because the whole time there was the construction on the same floor not far from our suite and the chemical smell went to our room. This time we wanted to go for the swimming pool so we accepted the kind gesture from hotel, being upgraded to executive floor. But again an unpleasant experience... For the executive lounge experience: We arrived 5minutes before the breakfast would be closed. So the staff arranged us at the outside seating not the bfst/dinning area, which we accepted and totally understood with no question. But after they started the breakfast clean up, so they closed the partition in between these two areas, there’s no staff AT ALL in our area that we could reach or see. The entire time (about one hour), only one staff showed up twice but disappeared very quickly...even worse, there were mosquitos in our Danish pastry, but no one was around(except two cleaning staff using vacuum cleanser to clean the carpet around us when we were eating, seriously? In JW Marriott executive lounge!!? Even this is the routine, at least a staff would show up and apologize or explain, shouldn’t it??!). However, in the afternoon same situation, we Came back from outside and ordered the afternoon tea set, once it’s served, no service staff around anymore....a while after, mosquitos flying around again, in kid’s apple juice, on the pastries, in the dippings...we had to return the juice to the staff to change to warm milk (luckily she showed up then...). By the way, the food quality is really not up to the standard of a JW Marriott hotel.  It’s so far the worse executive lounge experience ever. The Executive floor suite: coffee capsule was used when we checked in; the second day after housekeeping cleaning, still no one found and replace...the welcome cake was a disaster that we didn’t even touch... Don’t want to come back again... The only good experience was the particular Housekeeping staff (sorry we didn’t notice his name). When we just entered the suite after check-in and requested special beddings for the kid, he was very helpful and thoughtful. He created a dream bed for our kid!…",20
"Staying at May, 2020 (Executive suite with resort pool view)  Staying again at the JW Marriott Macau during the city lock down period. When I arrived to the hotel, there have only 1 counter for operation and no single person queueing for check in and out this time, as well as evening time when my friend visit, I’m glad and hardly have this smoothness registration experience in this property. Ms. Salvia assigned me to the executive suite which I reserved. It was pity there have no further upgrade for the accommodation, I also tried to ask for downgrade to the Retreat studio room type that hope to enjoy jacuzzi since all the wet facilities and pools are closed, which was told all “occupied”. This is quite surprise the hotel is still that busy during the city lock down and COVID-19…",20
"Our stay was generally good with the atmosphere and hardware. However, we were surprised with some points. First, the room facilities had some technical issues. The television on the bathroom mirror got some noises and the mirror was shaking. Also, the toilet bidet was non-stop splashing and we felt embarrassed to call the staff because we could not stand up, then we found our way. Second, we got too many reminders about check-out time even before the requested time. We felt unwelcome and like being kicked out as soon as possible. Third, after check-out, we thought we forgot our money in the room. We went back to ask if there was anything left. The staff was so upset and responded that they always return our guests whenever they left something! We were just asking, but at the…",20
"Hello!~ I am one of big fans of Marriott. And I love to stay at all Marriott hotels. But, This experience of check-in at the executive lounge .... hmm,,,, I was really disappointed.  My wife did check-in instead of me at the lounge. Because unluckily I was really busy.  I should have been there with my wife. My wife had to spend almost 1 hour for checking in there.  Above all, my wife felt bad and sad at the lounge.   If you are a platimum member,  I think it is better to check in at the frontdesk instead of the lounge.   I have booked 3 rooms for all my family members.  But, I have regretted I should have booked other hotels for my family. And one room was ready. But the other two rooms were not ready. We could get the room keys at 4:50PM.  Fortunately,  Room condition and…",20
"I paid 5 times the normal hotel price elsewhere but got 0 in value.   Everything was just plain average. Around the hotel shops and restaurants were expensive,  Room was average, amenities were normal, service was average, food was average,  Everything was average except the ultra high cost of the room.",10
"JW always my first choice to stay at hotel, I have been to Hongkong, Shenzhen, Beijing and Shanghai. Unfortunlety macau one not the good as want I want. No greeting, no smiling, and I need to take care my luggage. The room facility was still ok. But it always come from noise during mid night.",20
"We booked two rooms during Chinese New Year.  The standard room was spacious enough for family with kids, it was also well appointed.  We had very good lunch buffet in Urban Kitchen.  More restaurants are available in Galaxy Casino, and there are also  shops and cinemas to hang around inside the casino if you are not into gambling.  The problem I encountered is I found my Marriott Rewards points were missing after check-out.  I called the hotel in about a week, the staff told me the relevant personnel who could help me was busy, but she would pass my details and write back to me by email.  Another week passed without any feedback, so I called the hotel again, the staff assured me my case was being looked after, and the problem would be fixed.  It is now a month since the date we…",20
"I dont usually write on tripadvisor, however, my stay was not pleasant somehow. I just wanted to comment on the shampoo and body wash that gave me itchy skin and hair scalp for days and I only used those shampoo and body wash once during my stay! The brand is AROMATHERAPY ASSOCIATES which is a UK brand that I love, but I think this made in china ones are quite different than the ones I normally buy in store which is made in UK. If you are staying at this hotel and you dont want to take the risk, bring your own shampoo and body wash.",10
"只有把经历写在这，才会真的有人care。九月和朋友去澳门玩，之前也来澳门很多次，也住过澳门各种五星酒店，对于JW 酒店其实是第二次入住了，但是之前那次是用朋友名字预订之前那次入住体验很好，但是这次！worst!!!From front Desk to Communication, do you have any learning manager to train your staff, or do you have somebody train your staff, how to be a professional five star hotel staff. Upon My C/I,  the front desk agent, her name (I can not remember maybe call Su**?),she is really tall and slim, no greeting, no smile, it's seems likeI own her money, fine, I can understand everybody do have the down period, but no registration card for me!!!no paper for me to sign!!!!! no verification with my reservation, just told me the restaurant and pool, but speak not clearly! the ridiculous thing is when I come to my room,2 Keys doesn't work!! are you kidding me??? How could you tell me is…",10
"Stayed here for two days and three nights. The hotel is beautiful. It links up with three other hotels, Ritz Carlton, Banyan Tree, and Galaxy. In between there is a large shopping mall with all the modern comforts.  Requested for early check in and late check out. Front desk mgr Eden was warm and accomondating. Supv Gloria, Urban Kitchen, was fabulous and made me feel at-home.  Why the one-star? you may ask.  After check out, I had to for my ride. Feeling tired, I sat down in the lobby and closed my eye to rest.  Let me emphasize, I was sitting upright, not snoring or sleeping.  A security personel, Tin, told me that I was not allowed to rest in the lobby.  I explained to him that I just checked out, implying I am not loitrring. Still, Tin was firm saying that is the hotel…",10
"I booked jw marriot macau from hotels.com but somehow my account has been hacked and someone cancelled my non refundable reservation. (More reviews on hotels.com, a very bad bad one!!) I tried to check in and they said they can't do anything about it and left me with no room for the night. All they can offer is to book another reservation which i have to pay again. They saw all the necessary document and my account is under investigation by the useless customer service of hotels.com, and still can't even offer me the room. I also have other reservation in double tree guangzhou and the perkin hotel hongkong which have been cancelled by someone else, but these hotels are very helpful and let me have my reservation back at no cost at all. So yes, you people at jw marriot macau..…",10
"First off, the rooms in JW Marriott Macau was very nice. However, the experience we had in our 2-day stay in this hotel very not good at all.   This is a booking for our 10 year anniversary celebrations with our friends and families, we have booked 4 rooms and one of them being the retreat pool suite connecting with the Jacuzzi studio suite. We originally wanted to book Presidential Suite as it gives more space but reservation suggested that since we have less than 15 people, the sizes of both suites together that we booked will meet our needs of having a gathering, and she was right, it was good size and had what we originally wanted.   Prior to checking in the room, I still want to know the presidential suite offered rate and expected to have a better offer upon the day of…",10
"I spent the last weekend with family by booking an executive floor room. Out of our disappointment, both the service and hardware of the hotel are deteriorating:-  1. The hotel has a Japanese type of flushing toilet but it didn't work. When you presses the button, it made the sound but no water came out and it simply didn't work.  2. The room is non-smoking one but it smelled second hand smoke. We were with our child and it irritated us.   3. When we asked for an extra blanket for the night, the answer was no. They only had a big towel and either you like it or leave it.  4. During the morning breakfast, the table was not set and when you asked for a knife and fork, you were being ignored by 2-3 different staff and finally after persistently raised my hand and walked up to a…",20
"I'm amazed at all the positive reviews - yes the service and hotel design is nice but this is not enough for an ""excellent"" review. I've stayed in many JW Marriott's across the globe and this is the worst. The food is simply terrible! Limited breakfast choice and not even good quality. One night the hotel dropped something to my room at midnight - WTF! My apology was an $11 bottle of wine that went down the toilet. The Chinese restaurant is so so but limited typical Cantonese style that westerners would eat. Slow check in process but good shops located near by and free wifi. With so many choices I would stay elsewhere!  Very disappointed ",10
"I've stayed at this property couple times now, and I think I've given it enough opportunities to improve.  Unfortunately, the same issue seems to happen every time regardless of the feedbacks (and I did so in a nice and polite way) given.  Staffs keep making mistakes when it comes to reservation specifications.  Every time I stayed here, I asked for two double beds in a non-smoking room and reconfirmed multiple times to ensure the booking is correct.  However, at the most recent stay, they once again made the same mistake and gave me a smoking room with king-size bed.  Also, in spite of having put in the security deposit, they locked the mini bar anyway (without telling me in advance).  While I don't ever use the mini bar, I do have food that I'd like to put in the fridge so…",20
"It's my first time to stay in JW Marriott Hotel Macau. Staff were efficient & polite in Concierge during check in & check out . They also offered  me late check out at 12pm. The room was clean & nice . However an hour after we entered the room , a man came & wanted to check the mini bar . Arround 1 hour later , a lady came & wanted to checked the mini bar again ! On the day we checked out , at arround 11:30 , a lady ""pang ""on our room door & yelled. She said she want to make up our room. She did not know the concierge had offered us to checked out at 12:00 pm. The most unacceptable was she yelled at me in such an impolite way . I had made a complaint in the concierge with my email left for them but no reply! There are so many new 5 star hotel in Macau, its not worth to stay in…",10
