Content,Rating
"There are various so called 5 stars hotel in macau. Similar to Las Vegas, patrons came over to gamble.   I stayed here for two nights. It’s only an average hotel, and there is nothing interesting to write home praising it.  But, the room is reasonably clean, and the services are acceptable.  Let me give you a booking tip, please do not book it through booking.com or those devious apps, because the “extra” charges are steep while the listing price is insanely expensive. You should book it through the local Macanese travel agent, and it will be nearly half of the price.  Don’t be an idiot. Be smart.",30
"Macau has a huge offer of hotels.  This one is new and facilities are very impressive, specially the swimmingpool and water games (which are shared with other hotels nearby), but I felt nothing special if I compare with others.  I am a memeber for Marriott Bonvoy and the staff did not make me feel like I was, no special offers for nothing and not complimentary extras.  Gym is small and there also lack of quality at the sauna and steam room.  Maybe it´s OK for the customers that spend 90% at the Casino, but if your are also a tourist that goes for enjoy facilities and the room, my choice will be other.",30
"This is my third consecutive year to stay here. The suite is amazing, clean, nice resort view. Thanks to Guest Services Manager Samantha and Ana. Best of the best employees especially Samantha. However, it was the worst experience at The Lounge (restaurant) at the ground floor. We are sad and angry. Been waiting the food for over 30mins and there are ONLY 3 TABLES only!! yet the food is cold and bad services from the foreign waitress.  Should go to Ritz Carlton Cafe at first. Anyway, we are huge fan of this hotel but this experience as minor as it still affect out loyalty.",30
"Cant fault this hotel - 5 stars for room (upgraded and luxury), housekeeping and breakfast (great service from urban kitchen-very engaging staffs). The loss of the 2 stars (unfortunately) were from reception and concierge. Reception was unsure of upselling prices of breakfast - replies were “child breakfast cost 80 something”. Would expect an accurate amount. On our last day, we were taking the shuttle to the ferry terminal. Was sure that it was macau taipa terminal but the concierge told us that it should be macau outer terminal since we are taking turbojet. Glad we followed our own instinct..else will have missed our ferry. ",30
"2-Days-1-Night Trip in Macau again. We traveled with our 5 years old kid. 3 in total. We have stayed in various hotels in Macau and this is the 1st time we stay in JW Marriott. It is so-called 5 stars hotel and the largest JW Marriott in Asia and that's why we would like to have a try.  Pros: 1. Fast Check-in service  2. Excellent facilities in the room, including coffee maker, switchable window, electronic curtain, good toiletries, etc.  3. Good swimming pools and the water park resort.  Cons: 1. We especially noted to the hotel that we would come with our 5 years old kid but there is NOTHING prepared for our kid, no toothbrush, no slippers, no bathrobe...We called the Guest Service to ask for them but after 15 minutes of the call, the lady replied that the bathrobe is out of…",30
JW Marriot is a relatively quiet hotel located within the larger Galaxy Macao complex. Decoration wise it is rather basic but service is good and most staff speaks good English unlike the majority of most other hotel staff who speaks only local Cantonese and Mandarin. It is rather strange and annoying as these staff seem to have little tolerance if you speak to them in English and are generally very unfriendly and unhelpful. These hotels will turn away tourists who do not speak Cantonese or Mandarin. Good luck to them ,30
"Good 1) large room with comfort decoration 2) most of the staffs were helpful and friendly 3) delicious buffet breakfast 4) constant temperature swimming pool  Bad 1) bathrobe had dirt Worst 1) front desk staff - During check in, I requested front desk staff to talk with me by English or Cantonese.  Lynn was spoke with me by fluent English, no smile, gave me a black look.   What's wrong?  Although overall was good, the first image was worst.  I always like to choose Marriott, don’t know why both Marriott & Courtyard made me felt unhappy recently.  A good hotel can’t without friendly staffs, unfriendly staffs make the hotel become worst.",30
"After all the opportunities and alllowance for this top tier luxury hotel, service standard definitely needed solid improvement to match its hardware.  Slow and relatively inapt responses are recurrent for providing solution to thier error.  Incapable of real customer care to meet 5-star standard for my case.",30
"Tried to spend the weekend there at JW Marriott Macau, but ended up we had to check out after one night.  The hotel is a big hotel with a proper lobby.   It looked great but the lobby was always full of people all the time when we were there, all the seats were occupied so it was impossible for my family to take seats while I was doing the check in.   Room was big, the beds were large enough. Bathroom was nice and large too. The toilet was an automatic toilet. The shower room was big but the shower door couldn't be closed properly, so the bathroom would be flooded after shower. The room had good lighting and it was good to have a coffee machine in the room.  The kids club was great, with excellent staff. We could leave our kids there for hours and the staff took good care of…",30
"the hotel is fabulous but some of the problems need to be paid more attention.  we arrived the hotel at 3pm last Sunday and supposed we could get our rooms on time, after 10 more mins checking, the front desk staff persuaded us to come back after swimming then he could arrange us 3 rooms to be in the same floor.  as i knew some facilities would be closed at 6:30pm, we wanted to have our rooms first and didn't mind if our rooms were on diff floors.  then he checked for few mins again, my room was still unavailable and he told me my room could be checked out lately at 1pm the next day. he told me I could have my room card at 3/F, so i didn't need to go to the lobby after swimming at the 3/F.    First I was told the delivery service wasn't available when I was in the pool entrance.…",30
