Content,Rating
"We stayed here for the GP. Very few of the staff can speak English, they don’t provide fresh milk in the fridge for tea or coffee. Getting them to understand we drink English style tea was a mission. The restaurant was good breakfast and lunch was good. If you don’t gamble Macau is not for you...we don’t gamble. There are no shops around the only ones in the area are high end and in the Casinos. I would not recommend Macau or this area for family’s at all very much for Casino and Gambling.  We went for the GP which was great. We did have a few staff that were very friendly and helpful.",30
" The checked in staff was not professional as a 5 star hotel staff, chit chat with the colleague next to him during the process, the smile was not for welcoming guest but the conversation with his colleague. ",30
"Hotel check-in was excruciatingly slow even though we checked in at 3pm and there was hardly any guest checking in.   My husband use a Company credit card and reception keep asking if he could use a personal card instead (It's a business trip for him). We find it rather odd as we never face this problem with any hotels we have stayed in Macau  (Grand Hyatt, The Venetian, etc) or any other country. It was to the point of getting annoying, we never get to find out why but in the end he get to use the credit card.  We were than informed we could not have our room yet as it is not ready; even though check-in time is 3pm. In the end our room was ready after 4pm.  Luckily room is ok and rather spacious with a small sitting area.  A little gaudy, but that is subjective.  Bathroom is…",30
"Rooms are spacious and well appointed with large bathroom. Nice set of amenities. Good choice of restaurants and cafes (great pastries) and high quality food. Breakfast spread was varied and food excellent. Fitness is well equipped but unfortunately no steam room or sauna available, another 400MOP are to be paid to enjoy those in the nearby spa. Quiet disappointing, given that these features are standard in any luxury hotel worldwide. Overall a good stay at a reasonable price.",30
Though it has been opened for quite some years already the up keeping of the hotel in general is quite good. They are revamping the shopping area to give some freshness. The staff was very friendly and the lady at reception was very helpful and informative. ,30
"I set the bar high, so maybe that's why I was disappointed. A little bit more from this hotel would have been nice. Being the MGM brand I assumed it would be pure luxury, but compared to it's American competitors like Wynn and Venetian properties, I did not think it was up to the same standard even though they charge the same price if not more. If they modeled the room after their American property, just like the Wynn does, I think it would be a much better room.   The property itself is very nice, but I did not particularly like the rooms. The hotel is old, and you could feel the rooms age. They should do some upgrades on the room. In addition, the room was a bit small and really had that typical Asian room feeling with a very hard bed which I did not like. I would much rather…",30
"Attracted by the aquarium in my last visit, I've decided to book MGM for my family! Surprisingly, there is a new theme about butterflies and gardens! My family and I were truly stunned by the amazing decoration!   However, there is a large room for improvement on the service in this 5-star hotel. I arrived at the hotel at 3:30pm and the reception said that the room is not ready (although I've already stated that I'd arrive at 3:00 at the time of booking). They said they'd call me once the room is ready and it turned out to be a lie too. We didn't ask for any coupons or sth, so my 60-year old mum and I hanged around the hotel just to wait for the room. my mum saw a large painting in the corridor of the 2nd floor and she wanna took a pic of it. Suddenly, a middle-aged security…",30
"Great rooms comfortable beyond words, nice decoration, accurate service, great breakfast  for an additional fee... but honestly .. Is this worth the exorbitant rate? Maybe not.  Ok to experience once, but nit to return.",30
"Great location , lovely building lots of people there but lacked a little spirit / noise for me ! Thought a casino would be bussing and loud ! Even they only serve drinks "" beer "" after 8 !!!! Didn't stay long ",30
"The hotel was okay.  The rooms were a good size with a nice bathroom, but didn't really smell the best! The Swimming pool was a disappointment with no food or bar service at the pool. The casino is great but pretty much the same as all the other major hotels in Vegas, and no where near the same as Las Vegas!  Overall it was an okay experience but nothing to write home about!",30
