Content,Rating
Enjoyed our staycation at Venetian. Beautiful and huge suite with Cotai strip view. Lots of options for dining and enjoyed the tickets for Teamlab too. Choice of TV channels too limited though. Would recommended. ,50
"I had a great stay during my anniversary stay-cation! Front desk staff, i think her name is Sophie/ Sophia was very helpful and accommodating. She is very patient with my inquiries and the bellman Sam is also very nice to me and very entertaining all the way until we arrive to my room. They sent me a complimentary cake for my celebration which is very thoughtful and sweet. Got an upgraded room as well. I was treated very well and i loved the breakfast too!  Hope to stay again soon!",50
"I reached casino city Macao via ferry, upon exiting the ferry station I could see a fleet of hotel buses provided complimentary to pick up hotel guests. A swift 20 minute ride  to the hotel. The Venetian Macau resort is truly enormous ! It houses a hotel, casino, several malls and food courts and special attractions for tourists. One section of the food court is built exactly like Venice, complete with a water body and operational boats. We had a booked a king suite for 5 nights. Check in was smooth and quick. The suite was impressive, with an ensuite bathroom complete with a shower area,bath tub,dressing room and separate toilet. The suite also had a huge drawing room with comfortable couches, big screen tv, study desk, coffee maker mini bar etc. and a killer view ! Housekeeping understands basic English and service is fast. Breakfast buffet has many Indian food options to cater the guests. Casino is fun to try entry age is 25. The hotel buses are very convenient for sightseeing and they drop you off to other resorts and hotels free of cost. …",50
"The canal and the shopping areas make  you feel that you are in Italy. The sky is  realistic. Overall, beautiful decorations. The shops are very sweet.the steets is very beautiful and also very lovely .",50
"A worth it long walk! Roaming around the Venetian Macau Resort Hotel is exhausting if it is your first time and you are looking for Venetian Grand Canal. Boat Operator was a great singer too! I loved their voice, echoed in the area.",50
"Among the many five-star hotels and resort Macau has, the Venetian is probably the pick of the bunch. The hotel is more than just a hotel and just a resort; it's like a mini-city, where once inside, one may not know whether it is day or night; such is the activity that happens here.  When we checked in, we were given a 'passport', which came with breakfast vouchers and complimentary tickets to a show and other attractions inside. We did attend them and they were more than worth it. We spent time at the many casinos in the hotel and enjoyed, though we did not win anything.   The hotel is so big; it's easy to lose your way. We had a tough time finding our room. However, the room itself was awesome; it was more a suite. Everything from the decor to the facilities to the large…",50
we had a good three nights here  the hotel is huge! but very nice the staff were helpful and nice the room was nice and big and very clean. the place was so big we got lost few time but it was fun .  breakfast was good and if you pay in advance in the reception they give you a better price for it . there were plenty of taxis to take u to old macau. we did that 2-3 times,50
"Its a mini Macau with all attractions inside the complex - from Hotel to different restaurants, shopping arcade, entertainment arena including a Venetian canal for boating, Multiplexes and Casino to mention just a few of attractions. Just 10 mins from Macau airport with very good transport 24x7 to all directions of Macau, it is the best place to experince Macau.   Stayed for 3 days in the hotel's East lobby - rooms are excellent, breakfast is superb with variety & quality.",50
"Really love it every detail! Surely will come back again with my partner! Friendly staff, nice service :)) worth every penny. The place is huge. Very clean, cozy, luxury, and makes me want to stay longer! Hahaha",50
"The  Venetian Macao is a great hotel with huge room and good amenities. Thanks to Yutki Mehra for accommodating our requests and upgrading our room.   The location of hotel is quite good since it is near to aiport. Unfortunately, we arrive late evening that’s why no hotel bus is available for transport from the airport. But one thing is good, there is no que when we arrived that’s why we’re able to take good pictures without people on site. Our room is welcoming with nice city view.  We were able to ride the Gondola and it was fun. There are many shops and good to have a bridge to Parisian Macao, which made our transfer so easily.  This is an overwhelming experience.  Be back for sure!",50
