Content,Rating
"So far our worst hotel experience. My wife have been to very embarrassing and humiliating discriminatory selection process every time we need to go through the casino, and going through the casino is the best way from the main lobby to our elevators to access our room, so it’s pretty much every day and a few times a day the same thing. If you are black, south asian and young, avoid this hotel. The hotel itself is up to the Venetian standards.",10
"They cancelled my reservation because we arrived late. We stuck in traffic and had busy travel schedule. But why did they cancel my reservation when they had plenty of rooms available? They gave me a room but charged me a higher rate. But what was worse was a reeking “100% non-smoking room” with stale smoke! And we had toddler and elder. After some wait, we got another room which they seemed to spray it with febreze.  Next day, the room could still clearly smelled of smoke. Was it from before but covered by febreze or due to the air filtering system? And the bedroom TV wasn’t working.  Anyway awful 2- night stay!  Later I couldn’t check out on TV and called twice for a bill. The staff seemed to try hard to satisfy the guest. But the hotel management seemed to focus on pleasing…",10
"This is my first night at Venetian. The hotel is place and spacious.  However, the service of the employees are terrible and money-seeking.  We asked for additional room key temporarily due to the nature of our work on business trip, but they were not understanding and continued to require extra absurd payments. The way they explained was not only rude but clearly money-seeking.  Would not recommend due to poor service.",10
"I like the hotel appearance, it is grand, beautiful and worth to visit.  But with the rude staff, I am wonder how can they get the title of 5 stars ? Spending few thousands here with such services, I rather not staying here. There are several nice hotels nearby with good altitude, recommend you guys to go there.",10
Very very loud construction noise right on top of our room. I have an 11 month old baby who suffered badly because this. I begged them to stop the noise for only 2 hours while the baby is asleep and they refused. Why do you even accept guests in this room that is like a war zone??? Why do you charge me for this hell hole??? If you have construction planned for so many days you should NOT give the adjacent or nearby rooms to guests! I should NOT be paying for a room that traumatises my 11 month old baby.   Other problems: staff do not speak English. Inconvenient elevators. All public hallways smell like cigarette smoke which made me nauseous. Terrible mattress for baby crib. And so on. Please for the sake of your health and sanity AVOID THIS HOTEL. ,10
"We stayed here one night before a conference and it was the most expensive room of the trip; granted it was huge (70 sq m) 'cos there were 3 of us.   But, the whole place was completely overwhelming.   Imagine a giant mall, plonked on top of 4 separate casinos, topped off with a conference centre and several 1000 rooms. Oh, and there is a facsimilie of Venice interwoven with it all, complete with bridges and gondolas.   The whole place has massive corridors and 1000s of people (many being locals coming just to see the place as a tourist venue in itself).  We hated it (will never visit Vegas either).   Restaurants were very pricey (like poor ones charging  a lot) and obviously the designer   shops are too.   You practically needed a bus to get to your room from reception...we…",20
"  This is definitely one of the worse experience that I ever had so far in  my life !  The hotel is massive! It have 3700 rooms and because of the big shopping mall under it , it’s alway in a height occupancy !  When we arrived the lobby was like a train station! Almost the 1000 people queueing for check in and check out and only 20 front office staff !!  It took us a very long time for check in !  After they give the key to us they give us a map and asked us take the escalator and go the 3rd floor which one the biggest shopping mall in Macau located their and find North east entrance! The shopping mall is very huge and very busy , we couldn’t find the entrance if we accidentally didn’t met a Filipino staff !  The room is average nothing like a Macau 5 diamond ! The worse part…",10
"Too many chain smoking mainland  tourists taking over the hotel complex, pick pockets, just too far to walk around to and from the rooms unless walk through the noisy smokey unsafe Casino, so loud noisy 24/7 and personal safety is quite unsettling as full of gamblers lurking near shoppers.",10
"Room was amazing, big, spacious and newly renovated. All was great except one thing. One guy from FRONT OFFICE, Mr. Kenneth he’s attitude towards us is not good.  Also check in time should be 3pm, we arrive at the hotel almost 5pm. He ask us to wait for more than 1 hour. ",10
"First of all, I want to point out that I had previously spent 6 nights at the Venetian resort in Las Vegas and it had been the best hotel I've ever stayed in. So this time, I couldn't help to hold the same high expectation when I took my family (4 of us) to check in the Venetian (Macau) hotel. We booked 2 rooms with the ""Cotai view"" on the 26th floor and were staying there for 1 night. Unfortunately, the Venetian in Macau was nowhere near as good as its sibling's branch in Vegas. Here below were some of the reasons:  1) Cleanliness: Got 2 huge problems in the bathroom:  i) We found faeces/ poo marks on the handlebar of the toilet flush and also on the toilet wall. (Please see my pictures).   ii) There were a few small dead fleas on the bathtub and the bathtub was very dirty, it…",10
まずここに泊まりたいならチエックインにどれだけ並んでもいいし、自分の部屋を探すのも移動するのも全く急いでいない余裕たっぷりの元気な人でないとイライラする事間違いなしです。チエックイン手続きには一組15分以かかりスタッフはたったの２人！どこに移動するにもホテル内をずっと移動で本当に疲れました。　そして何よりもチエックアウトの日に早朝フライトでバスもない時間だったのでタクシー移動だったのですが、タクシーがずらっと並んでいる中スーツケースを持っている私たちにスタッフは一切案内もなく外で立っているだけ　仕方なく先頭のタクシーに空港まで行きたい旨伝えると200ドルと（通常空港までは35ドルくらい）　話にならないと次のタクシーと話すとそれも２００ドルと　こんな白タクまがいのタクシーばかりを常駐させておいてスタッフはもめているのに知らんぷり　多分毎日の事なんでしょうね　気づくと警察官がいました。警察官に注意されて３度目くらいでしぶしぶメーターで行く事を了承　※この間ドライバー　警官ともすべてやりとりは英語です 空港まで５分程度なのですが100ｋｍ超えの超ハイスピードに急カーブも減速なし 空港に着いてもトランクから荷物も降ろさず「F〇〇〇you !」と捨て台詞 女子３人旅でしたが命の危険を感じる大変怖い目にあいましたし、旅行最終日を台無しにされました。もしあなたのフライトがシャトルバスがない時間なら、もし英語で交渉できないなら　空港目の前のホテルかきちんとしたタクシーのあるホテルをおすすめします。私たちは二度と泊まりません。  When we left your hotel the bellboy did not do anything to help with the luggage or even getting a taxi. He was  just…,10
"For an amazing hotel overall stay in the wyn, not here! Over crowded, horrible service. Do not care about the customers at all   An amazing hotel but the most horrible customer service. Can’t even check in as a couple if you want, are told to wait for ages with your bags in a massive crowd. Also we left a key in our room and told to wait 30 mins to be let in our room even though we were able to provide all the details we needed. 3am and having to wait half an hour. For a luxury hotel you are ripper off for your money .",10
"Book The Venetian online. Raise some request and ask about where the nearest attraction we can visit. The first reply was negative, ask us to call their office direct, overseas call. that was done by a staff call kevin  which on 8/Jan. First impression of this hotel service standard gone. (that how the overall rating was lower)   Then get another reply from Choi Perales , Guest Relation Officer, Concierge, Hotel Operations. His reply was about 3-4 pages long , with lot of interesting recommendation and good idea inside. Well train staff and make us look forward the stay. I Thank Choi Perales for the sharing!   On the day of check in, was handle by Mr Luie , he explain clearly how the procedure and help us to take away unnecessary cost that may add on. we are given level 19,…",20
