Content,Rating
"We have been traveling Shenzhen,Hongkong & then Macao totaling 14 days.   We had an excellent stay at all our hotels.  Our last stop was the Venetian in Macao.   The hotel has 3000 plus rooms and was very busy.   Since we step foot on the ferry when they picked us up on the shuttle bus at the ferry we where treated like kings & queens.   Nothing was to small to make our stay WOW.  #fyi The ferry price was 293HK$ for 2 people going & 800 HK$ coming back.   BUT when we left.... The hotel staff was great assisting us with luggage to West lobby for pickup.    At the shuttle we came across to something that we just could not belief. The shuttle came and the staff member (which I think is appointed to assist quest to load the luggage) points and shout Load your luggage under the buss.…",30
"I always staying here whenever i went to Macau days before... and surprised that the room was not too clean but still good and spacious with complete amenities. The food in Macau is double than HK,  and it almost everywhere as that's the city of tourists ",30
"Stayed 5 nights. It’s a shame but this didn’t make the grade for us, having stayed at MGM and Banyon Tree beforehand on the same trip. We have stayed at Venetian Las Vegas on numerous occasions and are used to big hotels. There are many positives but for us this Venetian Hotel is too big for its own good. We do not regret staying but in my view there are better alternative hotels in the area.   Positives: Iconic hotel.  Good location.  Easy to walk to the old town Taipa, Galaxy and to Wynn Palace. Free shuttle buses to various destinations including other hotels in Cotai.  Venetian canals and fun theme.  Checked in 1pm and room was ready.  Complimentary check out at 2pm which was very welcome.    Very efficient, friendly and complimentary luggage storage.  Large room with lounge…",30
"Pros: Once we were able to check in it was very fast and they gave me a lower floor room as requested. Room/suite was the high point of the stay. Check out took about 45 seconds.  Con's: From ferry to shuttle bus is a long walk with no signs. Denied early check in. No place to set at reception (I'm 74 years old.) Front desk wanted 2000MOP ($250us) on a credit card as a deposit. Its a scam were the hotel gets to hold up to $70,000. in ""float money"" and you don't get your money back on your credit card for weeks. I declined and refused, and told them it was not advertised when I booked and prepaid, and they understood I knew the scam and they accepted the no payment.. After check in they sent us through the casino to get to our room and we had to show our passports(again) and the…",30
Venetian hotel is a perfect hotel and a little bit old. The room is very large and well equipped and the room service provides you with anything you want. Breakfast is very very normal and not a WOW comparing to other five star hotels and I suggest to take lunch in the asian restaurant and it was much better. Hotel is really big and from room to main lobby takes 20 mins. Very very crowded and to people who prefer quitter place I suggest to choose other smaller nearby hotels. ,30
"The hotel itself is nice as the rooms are all suites. Check in at 1pm and not earlier even when rooms are available is not accommodating guests. Coming from Living in Las Vegas for 9 years where there is fun and excitement at every corner, The Macau scene is built for no fun at all. Its built around Baccarat games for old Chinese men and old Chinese working girls to follow you around and point to open tables as if you cant see them yourself. There are only two poker rooms in Macau and the Venetian being one of them. With waiting lists full and only 7 tables occupied they will cut down tables and make waits even longer.. Going to the bathroom and having a line of Chinese drug dealers waiting for everyone is a show itself by the poker room. Looking for a bar on the casino floor is…",30
"Oh well, the most of staff are nice esp Ben at front office and Jamie at concierge were very nice and professional with great Eng skill but there was one lady whom were extremely rude. I also work for international luxury brand hotel and could not believe what she was doing. The very good thing abt this hotel, you can enjoy early check in and late check out service with min extra charge. I also have requested for this service and when I arrived at the lobby, I slowly approached the front desk then she stopped me and yelled at me saying I cant go to front desk.  I kindly yold her that I had booked for early check in service and it was around 9.30 am. Then she said I needed to come back after 12.30pm for that service even if I explained everything then forced me and my family to…",30
"Stayed here for just one night as we were attending a concert. For this reason it was a good choice as our room was very close to the Cotai Arena. However rating the Venetian as a five star property is difficult. The property is huge and largely dominated by a massive amount of retail outlets. When arriving in the main lobby it was completely chaotic, noisy and again not what I would expect from a five star property. The Check in queue was long and took forever to be served. The rooms are big and comfortable albeit a little dated. Our so called “non-smoking” room had a strong smell of smoke and even had an ash tray. There is a good variety of f&b outlets which you would expect from such a large property. However, prior to departure my wife had money stolen from her bag as we…",30
"Well Check In process is too lengthy, but stay was average. It has the Asia's Largest Casino floor which is functioning 24x7 (though not full). The hotel is very big, you need to keep the map with you to find the place. The room sizes are also big enough for stay. The service is not too fast, but acceptable, considering the size of hotel.  If you do have plan to visit in Hotel area, must try Gondola ride. You can find Indian restaurant The Golden Peacock. The test is totally Indian. Those who want to try local food can pay visit to Food Court, you can find variety of food.",30
"The thing that struck me about this resort is its size and very efficient service, but still friendly staff.  However English skills were not great with the majority of staff aside from check-in.  So learn some basic Cantonese before going.  We spent 2 days here and due to the air pollution and not feeling well we did not venture outside and neither did we gamble.  We basically window shopped for2 days, walking in excess of 10km/day.  The resort is like a small self contained city. There was a nice pool area, but due to illness was unable to make use of it.    One thing to note, if you have coeliac disease, they are not very gluten aware.  We chose to eat at the Golden peacock (Indian cuisine) that offered gluten free meals, but I wouldn’t say completely aware of the…",30
"Its a massive hotel you walk to Many corridor to arrive somewhere. I went in Vegas venetian and is really différent. This hôtel is Like Disneyland for chineuse adult.  Breakfast was terrible. Like 2 stars hotel bad quality food, poor choice better to go to starbuck than there. Room are gréât big suite, very Clean gréât bathroom and wonderful view. To access in swimming pool you have to be courageous you have to walk 15 or 20 min in huge corridor to access in garden. Swimming pool are small but Many Like swimming in alcov Its more confidential. Bar on swimming was closed. The gambling decline table are full with no polite people. Mall inside hotel are gréât Like in Vegas beautiful place all brand only food court was horrible smell and too Many people. Connections with other hôtel…",30
"I guess if the go to Macau you will want to experience the Venetian. So many shops but when confronted by the fact that a soft drinks sells for nearly 10 times the cost in the supermarket, you know you’re not here for the bargains. Just about every fashion shop is here and I guess it’s great to just take in the experience. We don’t gamble so the casino isn’t of any interest. Still go and see it but lots of better things to do in Macau ",30
"huge hotel.. takes a week to sort out.. with lots of shopping ( expensive) snd connected to other resorts.. however breakfast way below average, pool takes ages to reach and not much fun... casino also quite expensive compared to Vegas.. Macau itsrlf was a pleasure however..",30
"I only give this a 'fair' rating because I wasn't impressed by the bling and poor imitation. Don't get me wrong, it is a fantastic spectacle, huge complex with something for almost everyone, a real eye opener. Even though it is fantastic, I felt cheap and dirty by walking through a faux St Marks Square, Grand Canal, Bridge of Sighs, gondolas etc, etc, etc. It is a masterpiece in architectural mimickery, but just a bit wrong. You have to see it if you go to Taipa.",30
The Venetian Macau can be summed up in two words - ‘Too busy’. Getting from the front door to our hotel room lift always involved a battle of managing our way for the long walk through hundreds of people in the casino. It is by far the busiest casino in the Cotai strip compared to all the other casinos we visited. On the positive note our room was very big and the room service excellent. However the bed was hard and we did what we could to make it softer.  Also the while the Casinos/Hotels are newer on the Cotai Strip we found it difficult to navigate our way around and finding bars and restaurants on the street were virtually non existent. I much prefer the Las Vegas Strip for walking around and visiting the various Casinos and restaurants and bars.  All in all while we still…,30
We stay 3 nights to experience area. Hotel is very large. 3000 rooms. Suites are big and very clean and well maintained.  We chose breakfast at Cafe Deco Restuarant. Unfortunately there was no variation of the breakfast for the 3 day stay.  The restaurant didn’t cater for guests that don’t eat pork or beef. Food was prepared for large crowds and attention to detail was lacking.   The hotel has a damp problem which smells bad. They are using machines to dry the carpets. We not sure if it’s working.   Overall the hotel is very busy. I would avoid the hotel if you staying with family. The Parisian hotel seemed better. ,30
