Content,Rating
"To be honest, the interior is nice and glamorous but that's it.  We wanted to change to a standard room instead of a queen-sized bed but we were told no room. In this covid19 situation and in late-Chinese national holiday which I strongly doubt it cuz the girl was asking other staff if we can get the room or not.  So our room was arranged to the opposite side of the lake and there's absolutely no view at all. We wanted to change to the lake side but also told it's 'difficult'. We'd pay for it.  The most unbearable case was at the bell service, where we had our luggage checked first. One of the concierge girl came and helped us, but she used her feet to balance our luggage on the ground which was a backpack.  I don't think it's appropriate for a girl, for a hotel man, or a service person to do such behavior, and it's simply just rude. Most of the staffs at the front foor are Taiwanese.  I'd not recommend this hotel to anyone anymore although it was my second time staying in this hotel but it will definitely be my last.  There's plenty of other great hotels to stay, you just don't expect too much despite of the price. I'd say St. Regis would be a wiser choice or any other hotels.  To prove I stayed here I post a pic.…",20
"We first had a good impression on the hotel as we came for a special occasion.I was almost planning my next visit. However, It was ruined a bit when we were told to pay MOP1085 for an hour late checkout later the day. I was Wynn insider member and supposed to get 2pm late checkout. Since I knew we’d stay up late, spend some night times downstairs or in casinos. Therefore, I did want to get some rest in the room after breakfast which was half an hour queuing at Fontana. Unfortunately I couldn’t get a room through the hotel website while the other online travel agencies still have plenty of rooms of your hotel available (that’s weird as they REALLY have MANY rooms available at the time of booking). I had to book the hotel room through one of the agencies at last minute. When I…",10
A very palatial place and the most wonderful facilities and ambience totally ruined by rude and arrogant staff!!!  The only two staff I would recommend is Britney and Patrick in reception!!!   The room was upgraded to a parlor suite and that was pure bliss.... Great property but need to work on your software... And unfortunately that's what counts... The people working to deliver that service.  Pics attached. ,10
"The hotel did have a very beautiful decoration, you may enjoy a feast with our eyes. However, I had a horrible experience at the last momemt. FOUR peoples used more than 25 minutes to find our bags. We almost missed our boat on that day. This mess really destorys all my good impression on this hotel. The efficiency of the hotel service is really bad.  Anyway, you may take a round of the hotel.",20
"From Sheraton we walked over and entered Wynn Palace on October 25 around 1025-1030pm via the cable car station in the building. Upon entering the premises and I approached the only staff there to enquire when next show will start.   He looked at me, smirking, and simply replied sarcastically (I can understand but can't speak) in cantonese:  ""You speak to me in English? I DO NOT KNOW English.""   More smirking and all the while with an altitude like a rude, impolite and unwelcoming bouncer from an underground gambling den.  I was extremely shocked and disappointed the very first Wynn staff I approached was behaving in such an unprofessional manner. Naturally our money went to other nearby casinos that night.   Talked about first impression.",10
"Looking for a disaster? Go to Wynn Palace.  After watching the Fountain show, I wanted to take a taxi. When I was trying to get in, the door staff literally just pushed me into the taxi and closed the door without noticing that 1/3 of my dress was stuck between the car door. By then my dress has already been ripped and I had to walk on the street with a huge hole in the back just right below my butt the whole night because I didn't bring any extra clothes with me and it was already late at night. It was one of my favourite dresses but the door staff just destroyed it and most importantly I was put into the most embarrassing situation ever as someone on the street even approached me and asked if I was ok (though I got raped or something).  This was absolutely ridiculous. A total…",10
"I think this is creepy. And a invasion of a guest’s privacy.    I left a bag of my medicines on the room table; and i saw this note beside it after housekeeping cleaned the room.   The medicine could have been vitamins.  But for housekeeping to write the note... meant she took a look at the contents of the bag and read that they were not vitamins; hence, the contents of the note she left.  Nonetheless, i think it is bad taste.",10
"I have several times stayed with Wynn Palace but this time it was a nightmare. The Hotel is beautiful and amazing but the beauty doesn’t reflect the Service you get. We booked for 3 nights but due to some misunderstandings and errors, which was not caused by us, they had in their System the booking for one night. Upon Arrival we informed the Front Desk clearly that we are staying for 3 Nights which they were fine with. Next day we start getting calls from the early morning if we were checking out. We informed them again that we will be staying for 3 Nights. We thought now the issue is solved and we can enjoy our stay but then in afternoon someone else calls us with the same question and at night again. This happened every single day. We had to confirm to more than 10 different…",10
"Had very high expectations since last visit when it just opened to hopefully iron out the small kinks. Took the kids this time to experience the luxury of the Wynn. What a mistake! The host tells me, that there is no gurantee, but good chance of an early check in at 12 noon. So we book a nice lunch at the Fortuna buffet, great value , great location in front of the fountains. Service is good but choice is slightly limited, Belon in the Banyan Tree it is not, but at half the pricve good value. Try to get the early check in, front desk says 3pm, so iw whinge a bit and they take my cell phone and tell me that they will see what they can do. No calls, countless trips on the sky cab (its free for guests), but you need to show your key card and get a ticket, which is bit painful.…",20
"I can say the hotel itself is pretty luxurious but lacks service recovery.   However, my boyfriend booked us a night stay for our anniversay by phone and he informed to have the room with the fountain view and also told that we were there for anniversary and later also received an email confirmation by the reservation Josephine Chiu (photo attached) and to his surprise- when he checkin, He was given the smallest room and no view at all and they never gave any amenities for our anniversary.   So when we got the room, we were not happy and called the guest service and carol assisted us to room move to a better view room and slightly bigger and we ask for a late check out they they said latest is 13:00 and we ask if we can have a little later - she said really the latest she can…",20
