Content,Rating
For the past few years my husband and I have been staying at the Wynn Palace Hotel at least 3 or 4 times a year and usually for about a week or so. Usually the staff were very helpful and friendly but this time we encountered a very rude and unhelpful bellboy!   Back in January we stayed a total of 10 days and we also got friends to stay there for a few days too. While my husband was checking out my friends and I were standing to the side of a doorway with our luguages not blocking anyone. When my husband came out we got ready to push our 6 luggages out to the front entrance. A bellboy walked over and told us in Mandarin to move aside with our luggages. I told him back in Cantonese that we are moving out to the front entrance as we have checked out. . Instead of doing his job of…,30
"Last year was really pleasant and all the staff were kind but disappointing. I don't think it's being managed well. And The smell of flowers in the lobby seems to have weakened. Our room smell was so strange. I asked for a non-smoking room, but I got a cigarette from the bedhead recognition air conditioner.",30
"Hotel room are really badly designed, looks luxurious at first look, but really designed by someone who lacks taste.  Its nothing compared to Wynn in Las Vegas.  Staff was average, restaurants really average as well.",30
"Great expectations can lead to great disappointments. It may be because of Chinese New Year's Day, but there are too many people. It was a nonsmoking room, but the smell of cigarettes in the room was very unpleasant.",30
"Although the decoration is too golden for my liking, it matches the casino theme.   Staff are friendly and helpful. The room is spacious and full of mirrors and the location is good. I guess I have nothing to complain.   ",30
"This is a Forbes Standard hotel but some area might need to improve.   Experience: - Using Expedia VIP Access to enjoy the privilege, but unfortunately did not treated as a entitled guest - Front Desk was unsure my entitlement, checked-in process was take more than 15 minutes - Request early check in, but when approached to front desk only been informed have to wait for 3 1/2 hour for room to ready.  - The most TERRIBLE incident is get to informed luggage assistant for check out which after step in to room for 30mins! - Housekeeping been sent wrong item for twice.  Pros: - Hotel provided Cotai connection shuttle which can explore other hotel within Cotai area and also shuttle to different location which is really convenient  - Breakfast served at Fontana is awesome! - Spa in…",30
"We stayed for three nights. This hotel is not good if you are bringing kids. The problem is not really about the hotel staff or the infrastructure. There are just too many mainland Chinese people running around the hotel. They are not nice and friendly.  For example, we used our room card to get into the express queue for the cable car service. A mainland Chinese lady was originally in the normal queue. She came over to my queue and said that they know us and ""join"" us (i.e. jumping the queue).  Another example: In the middle of the day, two other Mainland Chinese tourists were wandering in the lift lobby. When we entered the lift, they followed us. We used our room card to go to my floor. They requested us to use my room card again so that they could get to the floor they…",30
"Wynn Palace is a grand and elegant Casino hotel, the primary colours are gold, off white, yellow, orange and shade of purple. Open more than a year ago I was told, everything, carpet, lightings, is rich and beautiful. I would have given it a perfect score if not for the staff, its not their attitude but communication and soft skills is a problem in Wynn Palace, you wonder if enough or correct training is being done? I check in at 1am, reception told me I do not have a reservation, she passed it to her colleague, took sometime before he says, oh, its under a different name, he look at my passport and the reception computer, Ok, now its my fault. The suite we book is nice, big but bare, my recommendation is, save the money and book a normal room, in Macau, one hardly spend time in…",30
the resort it was very nice. room clean and big...design and finishing very accurate. service ok. not bad not wow! ...just standard!!! the line in the morning to be seated for breakfast took me over 20' and the swimming pool it was close because under maintenance: that's very disappointing because it was a reason of my choice while booking and nobody informed about the disservice!!!,30
"I do not speak English.  When communication became uncomfortable, the employees were in a bad mood.  I would not recommend this hotel for those who can not speak English and Chinese.  When we could not communicate, the staff kept us waiting and was doing sns.  The room condition was better than the Galaxy Hotel, but the service was a mess  I wanted to extend the day but I was denied that the room reservation was full.  But I was able to extend the room for free at the casino, but I was in a bad mood",30
"It was said that it was daytime only during the day, but there was no advance notice and the child was uncomfortable to take a nap. Again, it was an experience. However, the employees ' feelings and cleanliness were very impressive and happy.",30
"Everything was fine, but ...   I felt a little sorry for my poor breakfast. breakfast. was no steak & ice cream. But the fruit juice tasted good.  Bread tasted good, but I couldn't eat it beacuse morning.  and I didn't catch the sky cap.  See you next time.",30
"Same as its Name ... PALACE!! Expect everything Grand n Spacious .. Hardware, really Great!! Software ... Can be better. 2 things we really Appreciate most were Unlimited rides of cable car n 2 Huge TV inside room. Other than that .. Everything was just fine",30
"there was someone tried to enter the room in the early morning, luckily i locked the door when i slept, he/she could not enter the room, in room dining service is good, but the dry fried beef river taste was bad",30
"Improvement at higher level,on this other side I have not feel any problems in the lower level, such as house keeping,room service.reception, reseveration even the luggage delivery etc. all seem to be quite on duty, that is want idea and feel during my stay.",30
"As of this writing, my companion's luggage has not been delivered to his room nor has it been found. The last time we saw it was at the bell-service trolley.  Hey the staff is very respectful but not all are efficient. While we hope the guy doesn't lose his job, we hope that the luggage is found. It's more of the hotel system: the hotel is full of touchbutton technology and all, but i wonder about security cameras which should be able to trace the whereabouts of luggage deliveries. ",30
We came to celebrate friend's anniversary and I would like to express my feelings from pre-	arrival arrangement to staying experience.  Pre-arrival. 1. I book two rooms (a package with guarantee upgrade to suite room and cable car tickets) online and requested for connecting room.  I found the rate was double than my Oct reservation with the same deal.  I called to reservation and they of course can't do anything.  Not even bother my question.  I explained that I visit Macau every month and each time I stay in suite in other hotel.  Last month I got a much better offer and I also found a good rate on travel agent.  They said they didnt cooperate with that travel agent and just ended my question.   2. I called to Concierge to help a few arrangement to my friend's room.  They…,30
"Since hotel is new, rooms are clean and nice. There are a lot of shops but location is not accessible, hence there is little shoppers. There is cable car ride at the hotel entrance which is interesting.",30
"I stayed at the Wynn Palace recently for one night as part of a 5 day trip to Hong Kong. I have been to Vegas and perhaps unfairly expected a similar experience.  The room at the Wynn was exceptional, perhaps the best hotel room I have ever stayed in, certainly the largest television!   The casino was less impressive, mainly higher stakes games; probably fair enough given their target clientele but nowhere near the diversity of choice available in Vegas. Drinks service at the tables was very slow bordering on the non-existent; as amateur gamblers we expected a drinkie or two!   The casino is surrounded by shops and amazingly there is only one bar! I think one of the restaurants had a bar within but only one dedicated place to get a drink! Very odd. The bar itself was nice, a bit…",30
"The room is spacious and huge, kind of wasted since we were her only for 1 night. Our package didn't include breakfast, so we need to go out for meals. Not much choice of restaurants within the hotel complex, because most of the restaurants are quite expensive, although there is a Starbucks outlet.",30
"This is one of the newest hotels in town with the biggest room size. I checked in on my birthday but was not recognized by the hotel, not even a greetings from the front office agent after seeing my id. It is well understood as I was not paying any rack or corporate rate but this can tell a difference from a truly luxury hotel. Guest room and bathroom is indeed spacious and fully functional. TV is huge and user friendly tablet is available to control lighting, curtain etc. There are 6 built-in usb plugs which are adequate to recharge my gear. Golden color amenities and decoration are used extensively in guest room and public areas, such as comb, tooth brush, razor, tissue box, speakers, carpet, which are too much IMO. Will I come back then?",30
"Its the little things that can make a hotel stay memorable for all the wrong reasons.  Yes it is a well appointed hotel casino with all the glitz and glam that Mr Wynn brings to all his establishments.  My only issues were check-in guy kept telling me that i couldn't get Skycab access even though I was a Wynn-Insider member, had to ask another staff member the next day who fixed things up immediately.  No turn down service on the first night. Training issue it seems.  Put the 'Clean My Room' Light on at 8 am, no one came till I called after 2 pm.  Once the cleaner arrived, keeps the door open and other guests wandered in and out of my room to ask for additional items from her.  Luckily I was in there and I could observe where they went, but still an oversight of security in my…",30
"I got the suite room overlooking their lake and with amazing views especially at night.  Check in was slow and messy as their reception room was crowded with a lot of people. I had two negatives with them and both involves the refrigerator and the drinks inside. I found a half drank Heineken inside and couldn't believe that wasn't checked when the room was being cleaned out. They changed and fix that with no problems though. 2nd problem was during check out, they thought a Red Bull was drank but it was never touched! They were kind about it though but I think their sensor fridge need some fixing. The room and everything with is was comfortable and location was very near to other high end hotels. Inside the hotel, there weren't much things to do and limited stores and…",30
Went to Wynn Palace to see what they have as the cable car and fountain attracted me. The casino is at the center of the whole building which is the same for the Coatai hotels. Hotel guests are having free ride of the cable car. Try it in the night will be nice. Most restaurants are located along the fountain to enjoy the show with their meal. They have two main flowers displays at two junctions. Now is having flower wheel and flowers balloons. Of course the outer ring surrounding the casino are the luxury shops and restaurants.,30
"The stay at your hotel is generally very pleasant however, expecting a non-smoking room but with matches and ashtray inside the room.    My inlaws would love to try the pool but it was under maintenance.  They then wanted to try the cable car in the morning but was under maintenance.  That was a bit disappointing.",30
"This was my second visit to this hotel as I like the sky cab and the fountain. I came with my family and they were unable to give us our rooms until 17:00. We had made our request for non-smoking rooms a few days before our arrival but the rooms were found with strong smell of cigarette. We ordered room service for breakfast in the next morning and was asked to pay cash despite of our room deposits. It took for about 15 minutes until he got permission from his superior before we could start our cold breakfast. The rooms were luxury  and the lake view were good, we also enjoyed the sky cab ride. However, good hardware should be supported by good software.",30
"Hotel condition is great and elegant. Rooms are very spacious and we have a good stay. However, we struggled to find the right restaurant (lunch/dinner) when travelling with a 2 years old. Almost all restaurants serve only above 5 while it is not likely to have seats available at the buffet restaurant (the only place for kids) for walk-in guests.",30
"helpful and efficient of front line staff - Coco Mall environment is nice and special, smell good with loving atmosphere.  rooms for improvement: 1- i book 4 rooms by 2 seperate booking by different date thru travel web site. when i check in i ask the front line staff - Anthony that whether i need to check out and check in again on the second day. and he says i need to do so. so the next morning i need to spend almost 40mins for my 4 rooms. i think this can be improved as other hotel can take care too. 2- the cleaning of the room is poor. i find the stain on the coffee table when i check in but the next day i still find the stain there 3- the hair dryer is damage when i first use. i place it on the table and hope they will get it fixed. but the next morning i take it out again…",30
"When I made this booking, I specifically stated that it was for my mom's birthday celebration.  When we arrived at the hotel, I was told that a birthday cake has been arranged, so we were all waiting till 2 am, but received nothing, my mom was disappointed.  Also I requested a room near the elevator as my mom can't walk very far, but we were given a room at the end of the corridor.  As a loyal customer at Wynn, I didn't expect this level of service.",30
