,content,rating,location
1514,['   .'],50,"Sparta, United States1 contribution1 helpful vote"
1191,"['. . . .     . . . .', '_']",50,"Hong Kong, China2 contributions3 helpful votes"
9806,"[""Inga thank you for your warm welcome and kindness by giving us a nice executive room for our stay in JW Marriott. I took wonderful time there for celebrate birthday. i'm lookinfg forward next stay. thank you again Inga""]",50,"Seoul, South Korea1 contribution1 helpful vote"
20663,"[""Me and may family (my wife, 2 kids-12 and 9 yrs old) stayed for 2 days. We thoroughly enjoyed our stay. The hotel room is quite spacious for 4 of us. No need to take extra bed. We took Cotai view and view of other casinos - city of dreams, Crown, Hard rock cafe and Hyatt was great. At night, we would just sit and watch all the lighting in these casinos. I took Shopt and pamper package - which gave me free Zaia tickets, breakfast and 10 min fish massage apart from free ferry ticket back to Hongkong. If you don't get this package - they also had on-the-spot package for Zaia, breakfast etc. I got Indian food in Cafe deco and Fogo Samba. Other than that, Venetian food court on level 3 also had 2 restarants which were serving Indian Dishes. We also used their swimming pool and"", '_']",50,"Pune, India62 contributions31 helpful votes"
1748,"['I stayed at the Conrad Cotai Central for 2 nights and had a wonderful time. The service was great, the facilities were exactly what we needed, the location was great, and the room service was outstanding!! The room set up and design was great, just loved everything about our time here (except they could have been a bit more lenient with their check out time - we arrived pretty late at night bc of travel delays, but they still said there was no way we could check out later than noon on our last day). Anyway, the service and everything else were so great that I can overlook that minor disappointment :)']",50,"Shanghai, China295 contributions48 helpful votes"
13768,['Wonderful hotel in the middle of the historic centre of Macau.  The hotel has wonderful views over the water and the Heritage listed city centre. Thoroughly enjoyed the Michael Jackson in-house museum.'],50,"Canberra, Australia1 contribution"
17314,"[""We spent a week at the Venetian and it was simply spectacular. We have suites which were beautifully decorated, huge and spotless clean. The hotel has incredible shopping, fantastic restaurants and links easily with other gorgeous properties such as The Parisian and The Four Seasons. The small outdoor pool (1 of 3) was over 18's which suited us perfectly.   ""]",50,43 contributions36 helpful votes
19511,"['If you r fond of gambling and going with wife, this is the place to stay. Once in the hotel and in shopping areas, you can slip down to casinos and she wont be bothering you for hours... Good brands to shop for. Unfortunately, we went in october and winter had set in for this part of the world and coming from india, Boss lady couldnt shop much as its anyway hot in india generally.. But this was second trip for me to Venetian Macau and its worth it...']",50,"Ahmedabad, India15 contributions9 helpful votes"
1043,"['The service is first rate, and no lines for checkin and checkout like many hotels. The executive lounge had an excellent choice of food and beverage. The breakfast at the Grand Orbit was superb, and the spa was a 10.']",50,Miami6 contributions2 helpful votes
5169,"['We had a great time here again recently. The Hotel was busy , indeed humming with activity- but we still managed to get personalised service and the appropriate assistance from the appropriate staff staff when it was required. The gymnasium and extensive pool facilities were also inspiring during this \'last of the hot weather"" change of season time of year.']",50,"Hong Kong, China2,195 contributions1,296 helpful votes"
8426,"[""We used our SPG reward point for our 2 day stay in Macau. Located in the famous Cotai strip it is  most conveniently located within the cluster of all other hotels like Venetian, Hard Rock hotel etc. We had a junior suite to ourselves , super luxurious and comfortable.  Decent spread at breakfast in lounge and in case you don't have access to lounge there is a food court and good number of restaurants located within the complex.  Ofcorse the biggest attraction point is Casino there are two on the ground level and if you are the gambling variety there are plenty of high end shopping experience, either way you will end up spending money :)""]",40,"Bengaluru, India58 contributions14 helpful votes"
6048,"[""We have a good experience during stay Sheraton Macao this time and thank you again on the birthday surprise.  At first, front desk's workmate (sorry that, I cant remember her name) reminded me to entitle 20% off discount which is I have meal on hotels outlet so that we have afternoon tea set at Palms as well.  Secondary, handy is really a simple tools to connect Internet access all the time and make local call, it is very warm's tools for tourist.  I thought I will stay Sheraton Macao for next Macao trip.  ps. I like yours gym and sauna room as well. ps. madeleine very yummy, and the b-day card very cute.""]",50,81 contributions10 helpful votes
