c60131,s6,Great value for what you get,[value][+],Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
c26,s2,"The hotel began exceeding my expectations immediately after booking, when I received a personalized email from a member of guest services inviting me to check in at the VIP lounge when I arrive",[experience][+][u],,,,,,,
c19,s5,"The mall and hotel is huge, hard to find places you want",[hotel][0],[mall][0],[navigation][u][-],,,,,
c50685,s10,Breakfast seems to be an issue for everyone on business,[Breakfast][-],,,,,,,
c50738,s3,"The steamroom seemed not hot enough (I stayed there more than 15 min, but still feel warm only, no sweating at all) 2) it's a surprise no Jacazzui available",[steamroom][-],[Jacazzui][-],,,,,,
c50742,s2,Check in lobby was HUGE with flocks of people,[Check in lobby][-],,,,,,,
c50669,s3,"Service was dismal and everywhere, staff seemed reluctant to help, disinterested and overworked",[Service][-],[staff][-],,,,,,
c35000009,s5,"However, when i came back at 3pm, the reception staff told me the room was still dirty and they even couldn't advise how long we had to wait to check-in",[reception staff][-],[room][-],,,,,,
c11246,s2,Starting from the concierge and reception (James) they are very helpful,[concierge][+],[staff][+][p],,,,,,
c841,s2,"The staff at the Conrad went to so much trouble to make sure he had am enjoyable time,they made us a delicious cheesecake to celebrate our honeymoon, as well as giving us a free upgrade and late checkout",[upgrade][+],[checkout][+],,,,,,
c9335,s2,On arrival at the ferry we looked out for the free shuttle service to the hotel,[shuttle][0],,,,,,,
c7282,s2,Good size for a suite,[size][+],[suite][+],,,,,,
c50269,s11,"Pillow too soft for me, and mattress support ok",[Pillow][-],[mattress][0],,,,,,
c50538,s4,Room quality was poor although the room was huge,[Room quality][-],,,,,,,
c50189,s9,"However, most bell and concierge staffs were so rude and unwilling to help",[bell and concierge staffs][-],,,,,,,
c50141,s1,"Be warned that even if you pay for the CLub floor rooms, ordering anything (including a bottle of beer) will take them a minimum of 25 minutes to deliver, by which time you can expect the cold beer to be a bit warm",[CLub floor rooms][0],,,,,,,
c60147,s6,The room layout makes the most of the spectacular view with bed and sofas all optimally located to soak it in,[room layout][,[view][+],[bed][+],[sofas][+],,,,
c50010,s5,Our check-in was very unpleasant,[check-in][-],,,,,,,
c45,s2,Awesome ambience awesome food,[ambience][+],[food][+],,,,,,
c50392,s1,there are so many people in the lobby area and even with so many people service is above average,[lobby][-],,,,,,,
c50011,s4,Normal facilities and good size of room,[facilities][0],[size of room][+],,,,,,
c50013,s2,I was disappointed by this hotel because I checked out at 7:30am,[checked out][-],,,,,,,
c50009,s3,Middle of the night room heater stopped working,[room heater][-],,,,,,,
c50628,s10,"Fifth, the room service was utterly sad",[room service][-],,,,,,,
c50150,s10,No be leans in coffee machine,,,,,,,,
c50424,s3,Italian restaurant is below average,[Italian restaurant][-],,,,,,,
c20,s1,We stayed a week in a King size room with Executive Lounge access,[stay][0],[lounge][0],,,,,,
c50091,s10,"Kids size table and chairs were made of plastic so if you have kids who like to climb, it__ very dangerous",[table][-],[chairs][-],,,,,,
c50421,s2,"The room was not worth that much money, probably because of weekend",[room][-],,,,,,,
c60082,s2,"I went to lunch before I check in and they arranged to pick me up at the restaurant, it's really a six stars service We were warmly welcomed by staff of the hotel and the room is clean and comfortable, all the snacks in the bar is free including a small bottle of red wine",[service][+],[staff][+],[room][+],[snacks][+],,,,
c60050,s1,"Not so many hotels offer a cake for birthday celebration but Altira does It is not about money but its courtesy and care How can you go out and buy a cake in a city you are not familiar with At mid-night, room service staff sent us the cake ( as we requested ) in professional manner",[room service staff][+],,,,,,,
c50523,s6,"Amazingly (to us) there was no proper bar, we were pointed to the empty lobby cafe which has a few bottles of alcohol",[bar][-],[lobby cafe][-],,,,,,
c60135,s8,The staff were the friendliest and most professional,[staff][+],,,,,,,
c2901,s1,"Having traveled to Macau at least half a dozen time and having the opportunity to stay at the various five-star establishments there, I can say without an doubt, that my experience at Four Seasons Macao was most disappointing",[experience][-],,,,,,,
c50281,s7,Huge queues for taxis at certain times - although that is a regular problem in Macau,[queues for taxis][-],,,,,,,
c50013,s1,Unacceptable service,[service][-],,,,,,,
c50205,s4,"Room facility is not good, very low quality products on the bathroom",[Room facility][-],[products on the bathroom][-],,,,,,
c50223,s1,"I am a regular Sheraton customer in many parts of the world, but this Sheraton needs serious upgrade",[upgrade][-],,,,,,,
c50373,s3,From the unbelievably long check in queues (even for the SPG counters where we had to wait close to 45 mins with only 4 people in front of us) to the seemingly ignorant staff and poor service ,[check in][-],[staff][-],[service][-],,,,,
c50093,s4,"I understood that Elite Member check-in counter is closed during night time but, staffs are don't care people who intervene the line",[staffs][-],,,,,,,
c3543,s6,"When you first enter the hotel, the lobby is stunning with a big open ceiling, fountains, and giant staircases",[ceiling][+],[fountains][+],[staircases][+],,,,,
c80035,s3,Banyan Tree has all the facilities you will want and need for an unforgettable stay,[facilities][+],,,,,,,
