c80018,s6,thank u banyan tree Macau and housekeeping team,[housekeeping][+],Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
c18128,s6,Also the room category was rearrahed to suit our needs all by the Checkin staff by name of Johnsom,[staff][0],,,,,,,,,,,,
c50516,s4,I checked in to a supposedly non-smoking room that reeks of cigarette smoke with a door that has a large crack on the side and stained carpets,[non-smoking room][-],[smoke][-],[carpets][-],,,,,,,,,,
c19760,s1,"Payed a lot of money for the ""COTAI DISCOVERY PACKAGE"" and the ""BELLA SUITE"" received worst treatment than a 3 star",[SUITE][-],,,,,,,,,,,,
c50114,s33,"The platinum line is always jammed (and I don't think many of them are gold or platinum members) and with one staff serving that line, it usually takes up to 30 mins before I was checked in",[checked in][-],[staff][-],,,,,,,,,,,
c29,s1,"Like every other hotel located in cotai, Sheraton has shuttle bus to the ferry terminal",[shuttle bus][0],,,,,,,,,,,,
c60006,s6,The gym is well-equipped too,[gym][+],,,,,,,,,,,,
c19273,s5,"The room is big , clean and new",[room][+],,,,,,,,,,,,
c9858,s6,First I was told the delivery service wasn't available when I was in the pool entrance,[pool entrance][0],,,,,,,,,,,,
c60117,s4,"Definitely get a breakfast in room-delicious food, Amazing The service is very attentive and you will feel like a celebrity the way they treat you",[breakfast in room][+],[food][+],[service][+],,,,,,,,,,
c50042,s5,"As Macau is pretty humid, the room does have a bit of a smell and a bit sticky when u first went in",[room][0],[smell][-],,,,,,,,,,,
c55,s7,Check in process was fast due to it was an early check in at 11.00am and of course through SPG member counter,[check in][0],,,,,,,,,,,,
c50044,s2,My son had a horrible reaction to the bedding as this time as his face was all itchy and red,[bedding][-],,,,,,,,,,,,
c3629,s3,We booked online for the Grand Hyatt Hotel and even upgraded it to a suite,[suite][0],,,,,,,,,,,,
c12522,s6,Lovely dining area with free afternoon tea which was very nice,[dining area][0],,,,,,,,,,,,
c8125,s4,We got a Deluxe room with Cotai view,[Deluxe room][0],[view][0],,,,,,,,,,,
c50018,s6,At first the staff said the cafe is almost full and suggested we go to the ballroom again,[cafe][-],,,,,,,,,,,,
c50255,s8,Check in staff was less than polite,[Check in staff][-],,,,,,,,,,,,
c50063,s3,Sheraton hotel is a commercial busy outlet with poor staffing and poor regard for the time of the guests,[staffing][-],,,,,,,,,,,,
c17218,s9,Also locate in same complex and connect to venetian macau hotel,[complex][0],,,,,,,,,,,,
c35,s7,"The room itself was very tastefully decorated, and well lit",[room][+],,,,,,,,,,,,
c59,s12,Thanks to Rosalie for being prompt to our needs,[service][+][u][p],,,,,,,,,,,,
c21352,s5,The Venetian is really big so everywhere inside the hotel is quite far from each other (for ex: you have to walk a  very longggg way to their gorgeous swimming pools) and you might need at least 2-3 days to be able to check out where things are,[pools][+],,,,,,,,,,,,
c35000027,s1,"I just spent a night in this new hotel in Cotai Strip and we are most disappointed with the poor, non-existent service of this hotel",[service][-],,,,,,,,,,,,
c80063,s6,Service is nice and all the staff we encountered are polite,[Service][+],[staff][+],,,,,,,,,,,
c9747,s4,The breakfast at the urban kitchen was worth every penny,[breakfast][+],,,,,,,,,,,,
c50269,s11,"Pillow too soft for me, and mattress support ok",[Pillow][-],[mattress][0],,,,,,,,,,,
c50386,s1,"There was a problem in the toilet, and the water was stuck and it was water in the whole toilet after my wife took the shower",[toilet][-],[toilet][-],[shower][0],,,,,,,,,,
c11507,s12,The bathroom was good with a separate shower area,[bathroom][+],[shower][0],,,,,,,,,,,
c50241,s6,Staffs are very friendly & helpful,[Staffs][0],,,,,,,,,,,,
c19966,s3,The room was lux and lavish with all the trimmings,[room][+],,,,,,,,,,,,
c50401,s1,"reception counter full of staff but look so messy, receptionist seem like not so familiar with the system",[reception counter][-],[staff][-],[receptionist][-],,,,,,,,,,
c50051,s4,The check-in line was 40 mins long (it feels like you are line to check in at the airport),[check-in][0],,,,,,,,,,,,
c14271,s4,While alcohol is affordable in macau the wine selection last night was good,[alcohol][0],[wine][+],,,,,,,,,,,
c3515,s5,"Concierge too, very professional",[Concierge][+],,,,,,,,,,,,
c50277,s6,"No coffee / tea was served, in fact only 2 staff helping at 08:00AM",[coffee][-],[tea][-],,,,,,,,,,,
c5653,s5,I have to fight it over and argue with the Chinese reception the feast to have my last day stay breakfast at the Feast,[Chinese reception][0],[stay][0],[breakfast][0],,,,,,,,,,
c35000016,s4,I regretted this upon check-in,[check in][-],,,,,,,,,,,,
c50148,s7,That's a different five-star hotel breakfast buffet experience,[breakfast buffet][0],,,,,,,,,,,,
c1341,s6,The room we got upgraded to was huge with a super bathroom and bedroom,[room][0],[bathroom][+],[bedroom][+],,,,,,,,,,
c50676,s8,"My only negative feedback here is the breakfast, I was allocated to the Caspian Room on the 4th floor",[breakfast][-],,,,,,,,,,,,
c50286,s6,"At check-in, the queue was long but they had entertainment in the form of balling scrupling for my boy",[check-in][0],[queue][-],[entertainment][-],,,,,,,,,,
c2906,s7,"The bedding was superb and the bathtub, shower, bathrobes and L'Occitane amenities were total luxury",[bedding][+],[bathtub][+],[shower][+],[bathrobes][+],[amenities][+],,,,,,,,
c5745,s5,They is very kind and friendly staff,[staff][+],,,,,,,,,,,,
c50519,s11,"At 2000hrs, restaurant is running out of teaspoon(obviously not the waiter's fault)",[restaurant][-],[teaspoon][-],,,,,,,,,,,
c9349,s5,"Overall the room atmosphere, environment and hotel service were super great and I am sure I will visit and stay in Sheraton Macau again",[room][+],[atmosphere][+],[environment][+],[service][+],,,,,,,,,
c60040,s7,We were wowed by their hospitality and we really appreciate it,,,,,,,,,,,,,
c2901,s8,"The next morning, breakfast', '_'",[breakfast][0],,,,,,,,,,,,
c13542,s4,"We took their shuttle bus to the Ferry terminal and then hopped on the shuttle buses of other hotels(Galaxy when we went to Tampa, Venetian to look around)",[shuttle bus][0],,,,,,,,,,,,
c14577,s6,and love to explain alternative transportation if we cant get the taxi through the bus,[transportation][0],[taxi][0],,,,,,,,,,,
c60107,s2,"very nice amenity, comb, tooth brush",[amenity][+],[comb][+],[tooth brush][+],,,,,,,,,,
c45000017,s2,Late check out was none and you can see there was no effort to even arrange it We even received a call to rush us to check out at 11am even though they told us we can delayed to 12pm,[check out][-],,,,,,,,,,,,
c78,s1,This is one of the few properties in the Hilton chain that know how to treat a diamond member,[member][+],,,,,,,,,,,,
c50278,s9,We took the complimentary shuttle from the airport/ferry terminal,[shuttle][0],,,,,,,,,,,,
c6048,s6,I like yours gym and sauna room as well,[sauna room][0],,,,,,,,,,,,
c50317,s12,The queue to order and pay for food at the poolside was 10minutes after,[queue][0],[food][0],,,,,,,,,,,
c50633,s4,"However the lobby lost in the casino with throngs of people, smoking cigarettes inside and the rest, plus the very confusing layout of the ground floor and the long queues at breakfast are NOT ok for a 4 star hotel",[lobby][-],[smoking cigarettes][-],,,,,,,,,,,
c50049,s10,"Upon arriving at the check-in desk, inexperienced staff slowed things down as well and mistakenly included a double deposit hold on our credit card",[check-in desk][0],[staff][-],,,,,,,,,,,
c80008,s4,"The pool and tho whole setup is beautiful, comfortable and very relaxing",[pool][+],,,,,,,,,,,,
c80058,s5,"the nice staff even assisted with my itinerary during my stay, as well as arranged accommodation for my other relatives who stay at Galaxy which is directly next to Banyan Tree",[staff][+],,,,,,,,,,,,
c4165,s1,"The hotel is new and clean, but unfortunately I didn't have a pleasant stay",[stay][+],,,,,,,,,,,,
c50324,s8,"Secondly, the bathroom within the lobby/casino smelled entirely of piss and looked like it wasn't cleaned in days",[bathroom][-],[lobby][-],[casino][-],,,,,,,,,,
c50314,s3,"Don't get me wrong, it is very clean, very professionally run and the rooms, although a bit underwhelming, are spacious and very comfortable",[rooms][0],,,,,,,,,,,,
c54,s4,Thank you Miguel FO department who so so friendly and helpful for our requests to fully fill our party night perfectly,[staff][+][u][p],,,,,,,,,,,,
c15544,s8,Quite bigger wardrobe space than normal hotel,[wardrobe][+],,,,,,,,,,,,
c15839,s5,Free shuttles are great,[shuttle][+],,,,,,,,,,,,
c60147,s6,The room layout makes the most of the spectacular view with bed and sofas all optimally located to soak it in,[room layout][,[view][+],[bed][+],[sofas][+],,,,,,,,,
c18128,s4,I had requested a room near elevator and wheelchair for my spouce,[room][0],[elevator][0],,,,,,,,,,,
c73,s4,The hotel service is excellent,[service][+],,,,,,,,,,,,
c11949,s7,Avoid this hotel as there are many better establishments with better amenities,[amenities][0],,,,,,,,,,,,
c50286,s2,"The room was very big, especially when we had just came over from Hong Kong",[room][0],,,,,,,,,,,,
c50222,s4,I gotta queue up again at the reception for the vouchers the next day (I decided to get rid of the SPG counter this time,[reception][-],[vouchers][0],,,,,,,,,,,
c95,s6,"That said, we were a bit disappointed by the service in general.",[service][-],,,,,,,,,,,,
c50147,s3,"I booked Club Level as an extra treat so imagine our surprise when upon arrival, they informed us that the Club Lounge was closed",[Club Level][-],[Club Lounge][-],,,,,,,,,,,
c80061,s2,Staffs are friendly and room is huge Price is reasonable as you wont find another hotel with private pool in room with this price in town,[staffs][+],[room][+],[Price][+],[pool][+],[room][+],,,,,,,,
c35000008,s7,When we showed up at the hotel at 5:30PM the rooms were not ready yet and was told we would need to wait,[rooms][-],,,,,,,,,,,,
c50434,s4,How I wished that reception area at the lobby were that spacious so as not to be bored while waiting for our room assignment,[reception area][-],[lobby][-],,,,,,,,,,,
c1180,s6,"This visit, our first with our newborn, I asked for a crib in the room",[visit][+],,,,,,,,,,,,
c208,s2,The suite was very large with magnificent sea-view,[suite][0],[sea-view][+],,,,,,,,,,,
c60135,s9,"Our butler was a polite and efficient young man, who seemed to be committed to providing us with the best service",[butler][+],[service][+],,,,,,,,,,,
c50042,s9,Please note the hotel lobby in this hotel is always busy,[lobby][0],,,,,,,,,,,,
c80021,s2,"very nice Room comes with a mini swimming pool, nice bath tub",[Room][+],[swimming pool][+],[bath tub][+],,,,,,,,,,
c20062,s2,the advantage is that the bella suite has 2 queen size beds that can easily accommodate a family of four,[suite][0],[beds][0],,,,,,,,,,,
c50589,s7,/ Almost no option for Vegi like me,[Vegi][-],,,,,,,,,,,,
c60093,s7,"It was way more than I expected: stunning city and water views looking over the harbour and casinos on the other side, comfortable room with a cloak room, the bathtub (OMG) in the bathroom can probably fit 6 people inside",[views][+],[room][+],[cloak room][+],[bathtub][+],,,,,,,,,
c6376,s8,Gym's equipment is also looks new and instructor stood by during my visit in the morning,[Gym's equipment][0],,,,,,,,,,,,
c50110,s4,This is despite prior confirmation via email and also again at check in,[check in][-],,,,,,,,,,,,
c50705,s7,Poorly trained staff,[staff][-],,,,,,,,,,,,
c2462,s4,Excellent stay,[stay][+],,,,,,,,,,,,
c5136,s6,"Other services were incredibly helpful -esp housekeeper ""ting"", bellman and dining service",[services][0],[bellman][+],[dining service][0],,,,,,,,,,
c15544,s2,We stay here for two rooms and two nights at Star premiere suite,[rooms][0],[suite][0],,,,,,,,,,,
c80034,s3,The room is so big that it feels like an expensive home!,[room][+],,,,,,,,,,,,
c10,s4,It was cold but the feeling is good when we are at the top of the tower,[feeling][+],[top of the tower][0],,,,,,,,,,,
c50588,s7,There's a McDonalds nearby :)  3) Wi-Fi connection non-existent to poor - tried and tested in the room and also on the pool side,[Wi-Fi][-],[room][-],[pool][-],,,,,,,,,,
c50385,s2,"The foyer is full of people, maybe the foyer was not designed large enough to cope that large amount of tourists coming through, having the casino sharing the same entrance with the hotel",[foyer][-],[foyer][-],[casino][0],[entrance][0],,,,,,,,,
c50044,s7,In Parisian we ordered the champagne suite and the check in is also immediate and they have a little room for us to rest while check in,[check in][-],,,,,,,,,,,,
c2054,s9,Great pool area,[pool][+],,,,,,,,,,,,
c14271,s2,"As a little treat, we are staying in the executive floor, this is our first Xmas together and the extra money is well spent in my view",[executive floor][+],,,,,,,,,,,,
c50747,s6,"WiFI is unstable, on and off every 10-20 seconds",[WiFI][-],,,,,,,,,,,,
c50091,s11,"Separately on the adult room side, there was only 1 set of toiletries which was too small for 2 adults to use for more than 1 shower; so we_",[toiletries][-],,,,,,,,,,,,
