c19541,s5,The hotel has suites which are very spacious and appointed with all luxuries,[suites][+],Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
c16469,s1,Food was amazing and service was fantastic from Amy Zhong,[Food][+],[service][+],,,,,,,,,,,
c20286,s9,2 big televisions,[televisions][+],,,,,,,,,,,,
c50257,s5,"There are staff around however they are unable to provide any resolution options , which I end up skip the breakfast and leave straight to pier",[staff][-],[breakfast][0],,,,,,,,,,,
c50164,s4,"When we were waiting, I could see there were many staff presented while they refused to open an extra check-in counters ( 3 counters are closed and opened after we had wait for 20 minutes) We bought a package with breakfast, I would say the check in helper had ignored this",[staff][-],[check-in counters][-],[check in helper][-],,,,,,,,,,
c7475,s5,"On the second day, they quickly explained to me that some perks of the SPG program had changed and offered to upgrade me to a better room which I gladly accepted",[upgrade][0],[room][+],,,,,,,,,,,
c20286,s1,Nice hotel overall good experiance,[experience][+],,,,,,,,,,,,
c154,s10,Shuttle bus service needs improvement,[Shuttle bus service][-],,,,,,,,,,,,
c50214,s1,"I have stayed at 17th floor at Skytower on 16 April 2017, around 4 to 5 rooms are under renovation, one of these room is next to my room, it's so noisy and dirty in this floor, dust is full of my room door",[rooms][-],[room][-],[room][-],[floor][-],,,,,,,,,
c17454,s4,"Express check out is so convenient, avoid any delay or waiting time",[express check out][+],,,,,,,,,,,,
c14,s4,"The amenities were terrific, i love the large towels, and free bottles of water",[amenities][+],[towel][+],[bottle water][+],,,,,,,,,,
c80056,s7,"Thanks Banyan Tree, great experience",[experience][+],,,,,,,,,,,,
c60007,s4,The pool and the service were excellent Front office staff were nice and informative,[pool][+],[service][+],[Front office staff][+],,,,,,,,,,
c50002,s1,Would not suggest staying here at all,,,,,,,,,,,,,
c50092,s1,"I arrived on a Wednesday around 5pm and, even with SPG Gold, it cost me 30 minutes to check in",[check in][-],,,,,,,,,,,,
c60117,s3,Comfortable room with amazing bathtub and spectacular view like nowhere else,[room][+],[bathtub][+],[view][+],,,,,,,,,,
c50005,s4,"the lady staff used her  body to block me to go in, I felt so insulted",[staff][-],,,,,,,,,,,,
c60149,s13,"Since the amazing lobby was on the 38th floor, there was an express elevator to the lobby, but no express to the rooms",[lobby][+],[elevator][+],,,,,,,,,,,
c21186,s7,"If you're with kids, the restaurants on the casino floor are off limits",[restaurants][0],,,,,,,,,,,,
c50281,s6,Staff were helpful and everything seemed to work,[Staff][+],,,,,,,,,,,,
c50167,s5,"Also, the lobby is extremely crowded and noisy, which is not welcoming to hotel guests",[lobby][-],,,,,,,,,,,,
c46,s6,The food was international- and very tasty.,[food][+],,,,,,,,,,,,
c80048,s3,"Hotel staff were very accommodating especially Jerico, Bhuwan, Mark and Mhel who attended to our needs during our whole stay",[staff][+],,,,,,,,,,,,
c50098,s2,It is a 5 star world branded hotel in tourist city but late checkout is 11:00am,[checkout][-],,,,,,,,,,,,
c9342,s1,"Everything about this hotel was fantastic - the location, the service, the rooms, the food & their amazing Spa",[location][+],[service][+],[rooms][+],[Spa][+],[food][+],,,,,,,,
c4794,s3,the whole hotel staff was awesome.,[staff][+],,,,,,,,,,,,
c50180,s1,The slowest check in I have ever experienced,[check in][-],,,,,,,,,,,,
c60004,s1,This was my first but undoubtedly the best staycation for me and my girlfriend,[staycation][+],,,,,,,,,,,,
c17454,s7,"Most Casino dealers and employees doesn't know how to speak english, Cashier lines way too long for exchanging money",[staff][-][u],[cashier][0],,,,,,,,,,,
c50108,s2,"However, I do have a bad check in experience here",[check in][0],,,,,,,,,,,,
c50242,s11,The walls and floors were damp and dirt,[walls][-],[floors][-],,,,,,,,,,,
c50161,s4,"At check-in, not sure why, but I spent long time to do the check in (even I've booked the room via hotel website and got their email to remind me to send them my estimate arrival time",[check-in][0],[check-in][-],,,,,,,,,,,
c50212,s3,Asked to come back to check in 3 times (and SPG members) because it was fully booked,[check in][-],,,,,,,,,,,,
c1514,s3, All of the staff are very friendly and courteous and the next time I visit Macau I will definitely stay at the Conrad Hilton,[staff][+],,,,,,,,,,,,
c35,s5,Joanna was well informed and even wished us a happy anniversary,[staff][+][u],,,,,,,,,,,,
c23,s10,"It took us around 20 minutes to walk from the hotel lobby to our room, later we discovered that there are separate lifts , to bring the guests to the rooms faster",[transportation][+],,,,,,,,,,,,
c50097,s2,Many people recommended this hotel for nice location however i was quite disappointed when i first entered the room,,,,,,,,,,,,,
c1746,s3,Take the complimentary green shuttle buses from the ferries here,[shuttle buses][+],,,,,,,,,,,,
c50048,s6,But really sunk it for me though was the service level in the bars and restaurants,[service][-],[bars][-],[restaurants][-],,,,,,,,,,
c50316,s2,We had usually enjoyed the food and service of the Club Lounge as there were usually good selections of hot and cold food with drinks,[food][+],[service][+],[Club Lounge][0],,,,,,,,,,
c1,s1,We had been at a holiday at Venetian Macau,[holiday][0],,,,,,,,,,,,
c6810,s9,"Certainly, all the staff were friendly, helpful and professional",[staff][+],,,,,,,,,,,,
c50086,s1,There was a so called upgrade to a normal room with a partial view of the Venetian,[upgrade][-],,,,,,,,,,,,
c50028,s6,Rooms are quite out dated 4,[Rooms][-],,,,,,,,,,,,
c19138,s7,"The rooms are huge & clean, but somehow technology is missing",[rooms][0],,,,,,,,,,,,
c14271,s1,My girl friend and I checked into the hotel yesterday and have been very pleased with the stay to date,[stay][+],,,,,,,,,,,,
c9141,s1,"i really had a wonderful stay in Sheraton Macau, with sweat servise and great staff.",[stay][+],[service][+],[staff][+],,,,,,,,,,
c50338,s4,"Sheraton Macao and Sheraton Taipei have one thing in common, the room have musty smell, Macao has less musty than Taipei",[room][-],,,,,,,,,,,,
c10748,s4,I would like to particularly call out Ronald and Bobby from the Reception area who were willing to go extra mile to ensure that our stay at their hotel was pleasant,[staffs][+][p],,,,,,,,,,,,
c13381,s2,I was travelling to Macau with my girl friend for our anniversary and the team did a superb job by decorating the room with rose petals,[room][+],,,,,,,,,,,,
c12,s3,Staff were amazing from the minute we got out of our taxi,[staff][+],,,,,,,,,,,,
c2051,s8,Also some gorgeous day spas to settle into for part of your day,[spas][+],,,,,,,,,,,,
c14271,s2,"As a little treat, we are staying in the executive floor, this is our first Xmas together and the extra money is well spent in my view",[executive floor][+],,,,,,,,,,,,
c80076,s2,The staff are very friendly and multi lingual,[staff][+],,,,,,,,,,,,
c50130,s1,"I stay here for 2 nights, book a deluxe room and was upgraded to executive room with club lounge access on confirmation",[deluxe room][0],[executive room][0],[club lounge access][0],,,,,,,,,,
c18,s6,We loved to take our breakfast by the pool side in the nice breeze,[breakfast][+],,,,,,,,,,,,
c17,s4,The room itself was very nice,[room][+],,,,,,,,,,,,
c80053,s3,What makes it so special too is that the staff are very friendly and helpful,[staff][+],,,,,,,,,,,,
c21352,s5,The Venetian is really big so everywhere inside the hotel is quite far from each other (for ex: you have to walk a  very longggg way to their gorgeous swimming pools) and you might need at least 2-3 days to be able to check out where things are,[pools][+],,,,,,,,,,,,
c50096,s2,"First of all, the shower was only equipped with a shower curtain, no glass door, it was only spacious but with a cheap shower curtain",[shower][-],[shower curtain][-],[glass door][-],,,,,,,,,,
c13105,s8,The other not so good service was the receptionist at the Chinese restaurant who greeted us without any expression but I observed that she was all smiles to other customers who seemed to be regulars there,[service][-],[receptionist][0],,,,,,,,,,,
c8697,s5,"Being an SPG member, there was an area provided specifically for SPG members to check in and in this regard, it was perfect and the staff that greeted us and checked us in was warm and friendly",[check in][0],[staff][+],,,,,,,,,,,
c60118,s2,"The room is cosy, practical and elegant design",[room][+],[design][+],,,,,,,,,,,
c60155,s5,Swimming pool is great as well,[Swimming pool][+],,,,,,,,,,,,
c17711,s4,"Having said that, the architecture, design leaves one spell bound",[architecture][+],[design][+],,,,,,,,,,,
c50112,s5,tho they have 8 lifts servicing each floor zone but with their vast amount of rooms hence guests,[lifts][0],[rooms][-],,,,,,,,,,,
c18837,s3,"Once you\'ll get in, you can take a picture with a very fantastic design and I totally love every detail of the structure",[design][+],[structure][0],,,,,,,,,,,
c19713,s9,the photograph is that of me admiring the ceiling of the dome,[ceiling][+],,,,,,,,,,,,
c60135,s9,"Our butler was a polite and efficient young man, who seemed to be committed to providing us with the best service",[butler][+],[service][+],,,,,,,,,,,
c60004,s5,"And what made it extra memorable was the level of care given by the Guest Services Supervisor Rev, he truly went above and beyond and took such good care of us during the whole stay",[Guest Services Supervisor][+],,,,,,,,,,,,
c50093,s6,"Beware, If you are Elite member of SPG who will arrive in night time, it will be nightmare to check-in the room",[check-in][-],,,,,,,,,,,,
c11562,s7,The room itself is small but still in comfortable size,[room][c],,,,,,,,,,,,
c9385,s4,staff were always on hand asking how my stay was and would do almost anything to help you out,[staff][+],,,,,,,,,,,,
