c60097,s1,We had a great time in this hotel The rooms were huge and extremely luxurious,[rooms][+],Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
c1746,s2,I stayed in a King suite which was MASSIVE comfortable and clean,[suite][+],,,,,,,,
c13,s2,"huge casino, great rooms and excellent service",[casino][+],[service][+],[room][+],,,,,,
c19,s5,"The mall and hotel is huge, hard to find places you want",[hotel][0],[mall][0],[navigation][u][-],,,,,,
c50307,s4,It took us 45 minutes to check in which is pathetic,[check in][-],,,,,,,,
c60098,s6,Well done to a great team,[great team][+],,,,,,,,
c6,s10,One can get lost easily in the maze,[navigation][u][-],,,,,,,,
c36,s6,The breakfast buffet offers anything you like,[breakfast buffet][0],,,,,,,,
c80068,s4,We were able to spend the day at both the galaxy pool deck and Banyan Tree pool while waiting for our room which was ready early,[pool deck][+],[pool][+],,,,,,,
c50005,s4,"the lady staff used her  body to block me to go in, I felt so insulted",[staff][-],,,,,,,,
c60144,s9,The concierge staff could not do enough for us,[concierge staff][+],,,,,,,,
c86,s8,That was what we did and they were pretty understanding by giving us two rooms (we went with another family) beside each other,[staff][+][u][p],,,,,,,,
c50008,s1,"It's fine if you like gambling, I guess",,,,,,,,,
c50117,s2,"For check in, I showed passport then need wait 30min until receive room key",[check in][0],[room key][0],,,,,,,
c60114,s1,The room is perfect in every little detail its spacious and has a huge sofa and amazing bathroom with a bathtub and great view,[room][+],[sofa][0],[bathroom][+],[bathtub][+],[view][+],,,,
c80073,s3,The ambiance is very cozy and the food attendant are very attentive,[ambiance][+],[food attendant][+],,,,,,,
c60155,s3,The view is spectacular both from the lobby and the Seaside view rooms,[view][+],[view rooms][+],,,,,,,
c60112,s8,The facilities are quite impressive too,[facilities][+],,,,,,,,
c35,s7,"The room itself was very tastefully decorated, and well lit",[room][+],,,,,,,,
c50104,s3,"Over the past 6 months or so, I've stayed here 3 times and on each occasion I was told the property was sold out and no upgrade was available",[upgrade][-],,,,,,,,
c27,s1,My partner and I only stayed for 1 night but we had a truly memorable experience,[experience][+],,,,,,,,
c80006,s6,"Shout out to Sherman, Ms Sasa, Mark For your good service ______",,,,,,,,,
c50247,s4,and check in before 1 oclock,[check in][-],,,,,,,,
c60039,s3,"The entire hotel has great ocean views (for the time being), guestrooms are relatively large (50-60 sq m) and well designed",[views][+],[guestrooms][+],,,,,,,
c80037,s2,"I was amazed with its beautiful, elegant and big rooms",[rooms][+],,,,,,,,
c1797,s12,The gym is large and spacious,[gym][+],,,,,,,,
c50320,s5,I thought this was sufficient but it is not,,,,,,,,,
c50113,s5,The staff at the check in didn't seem amazingly enthusiastic to see us (but I guess it's hard to have a smile 24/7),[staff][-],,,,,,,,
c7,s2,I would recommend this hotel due to good customer service overall especially the club lounge set up,[customer service][+],[lounge][+],,,,,,,
c60145,s3,Hot towels and drinks were served during our limousine transfer to the hotel,[towels][+],[drinks][+],[limousine][0],,,,,,
c50145,s5,"The pool area supposed to feel relaxed while we are on vacation, instead Sheraton Macau made the guests felt under close watch by the security guards, while the pool is only 1.2 meter deep",[pool area][-],[security guards][-],,,,,,,
c50255,s8,Check in staff was less than polite,[Check in staff][-],,,,,,,,
c14741,s12,I also like the washroom,[washroom][+],,,,,,,,
c50204,s8,There is however a better way of enforcing this than allow their untrained front desk staff communicate,[front desk staff][-],,,,,,,,
c60158,s17,"We also tried their french restaurant , nice food and good service I do believe this is the very best getaway hotel you can choose in macau We stayed there 2 nights",[food][+],[service][+],,,,,,,
c1691,s8,Kajana escorted us to the room and gave us the tour (it was big enough to need a tour,[room][0],,,,,,,,
c50317,s7,"The rooms were cramped, corridors dark",[rooms][-],[corridors][-],,,,,,,
c11507,s6,Strange thing was family room was on a smoking floor,[family room][-],,,,,,,,
c53,s4,hope to see you guys soon,,,,,,,,,
c60006,s6,The gym is well-equipped too,[gym][+],,,,,,,,
c50096,s3,And the toilet had no lid!!!  I thought I was in a public toilet!  ,[lid][-],,,,,,,,
c50001,s6,"security personnel act bossy like they want the guests to adjust for them, really",[security personnel][-],,,,,,,,
c13768,s2,The hotel has wonderful views over the water and the Heritage listed city centre,[views][+],,,,,,,,
c50318,s6,"Only after I complained to Lombok, the pool manager, did they open the other pool which was still dirty",[pool manager][-],[pool][-],,,,,,,
c12108,s6,Great amenities,[amenities][+],,,,,,,,
c9385,s6,"the only problem i had waswhen i wanted to check out at 6 am,the club staff were notavailable and had to use normal checkout and i think the girl was still training and so took her time checking us out but other than that it was just simply the best full stop",[check out][-],[staff][0],,,,,,,
c55,s2,Sheraton is a brand that I am familiar with,[brand][+],,,,,,,,
c71,s5,"Thanks to Mr Tony Wang for gave us the best view & nice view from room during stay, show & explain to us about the room.",[staff][+][u][p],[view][+],,,,,,,
c60010,s3,"But with indoor swimming pool, I can still enjoy it",[indoor swimming pool][+],,,,,,,,
c80065,s5,The pools were amazing,[pools][+],,,,,,,,
c50318,s5,"So on Saturday the one pool was packed, they had one waiter for poolside drinks and two pool attendants which was nowhere near enough",[pool][-],[waiter][-],[poolside drinks][-],[pool attendants][-],,,,,
c50091,s8,The crib was very small and very deep; so not suitable for a baby who__ a light sleeper,[crib][-],,,,,,,,
c14741,s11,The beds are quite comfortable too,[beds][+],,,,,,,,
c1180,s6,"This visit, our first with our newborn, I asked for a crib in the room",[visit][+],,,,,,,,
c80064,s3,"staff were very attentive, polite, and friendly",[staff][+],,,,,,,,
c3634,s7,A big living room with coffee machine and a big bed room with elegant bathroom,[living room][+],[coffee machine][+],[bed room][+],[bathroom][+],,,,,
c3526,s11,Lining up for taxis and shuttle was well organized,[shuttle][+],,,,,,,,
c14,s3,"Each room is a suite with a living room, master bedroom, and beautifully designed bathrooms",[suite][0],[bathroom][+],,,,,,,
c60070,s10,The view was amazing And the movies were free inside the_,[view][+],[movies][+],,,,,,,
c3515,s1,Nice and comfortable room,[room][+],,,,,,,,
c80058,s2,I'd never thought I would find a private pool in my villa in the middle of this concrete city,[pool][+],[villa][+],,,,,,,
c80006,s3,All the room attendants are very well trained,[room attendants][+],,,,,,,,
c2201,s3,on the buffet table and willing to explain and share their knowledge to their guest,[buffet dinner][0],,,,,,,,
c50156,s1,This is a massive hotel with super long check in lines,[check in][-],,,,,,,,
c2124,s1,clean rooms,[rooms][0],,,,,,,,
c50040,s2,"Then , no room service at all",[room service][-],,,,,,,,
c9141,s3,"when we back to room there is bottle wine n amenity on the table for celebrating our anniversary, i really felt sweet and touching",[room][0],[amenity][0],,,,,,,
c13381,s1,Overall excellent service from the team,[service][+],,,,,,,,
c50110,s9,bag came but shuttle bus was gone,[shuttle bus][0],,,,,,,,
c50365,s6,Another male non-Eng speaking Chinese staff in shuttle bus rank counter looked at us with unfriendly insulting eyes,[staff][-],,,,,,,,
c5655,s3,Lots of good options for the restaurants and the quality is good,[restaurants][+],[quality][+],,,,,,,
c80031,s2,"During our stay, we were warmly welcomed by the staff especially the Housekeeping Team",[staff][+],[Housekeeping Team][+],,,,,,,
c60111,s2,"We were treated like ViPs the whole time, with the staff being very helpful and professional",[staff][+],,,,,,,,
c60128,s9,The view is magnificent,[view][+],,,,,,,,
c18,s1,The location for discovering the old city is perfect either by foot or by bus,[location][+],,,,,,,,
c2016,s10,The shopping is great and most things are on sale,[shopping][+],,,,,,,,
c12108,s5,Amazing rooms - big with great views,[rooms][+],[views][+],,,,,,,
c36,s9,The poorly organized check-in that other reviewers experienced is,[check in][-],,,,,,,,
c8125,s5,"From the room, we can have a clear view of the cotai and and the swimming pool",[room][0],[cotai][+],[pool][0],,,,,,
c11184,s5,Excellent view up there at 37th floor height,[view][+],,,,,,,,
c50011,s3,No choice but to tolerate light smoke smell,[smoke smell][-],,,,,,,,
c18128,s5,I was informed that the room is near the elevator and wheelchair is available right there at the checkin counter,[room][0],[elevator][0],[checkin][0],[counter][0],,,,,
c67,s2," While I Macau did not meet my expectations compared to the glitz of Las Vegas, the Sheraton is located well and the hotel provides 5-star luxury accommodations",[expectation][-],[located][+],[accommodations][0],,,,,,
c19026,s3,They have free shuttle buses to and from the Macau ferry terminal,[shuttle buses][0],,,,,,,,
c50098,s1,It is a 5 stars world branded hotel but card key can be spoiled and have to wait 30 min in corrido for re-entry,[card key][-],,,,,,,,
c50010,s5,Our check-in was very unpleasant,[check-in][-],,,,,,,,
c9342,s2,"Located in the center of the shopping, dining and entertainment strip, there is nothing I can really fault about this hotel",,,,,,,,,
c11839,s1,A busy 5 star hotel in a good location (v convenient for old town) but with excellent service (apart from a slow bar lunch order) and a very comfortable room,[location][+],,,,,,,,
c8793,s4,I am totally impressive with their breakfast operations in one of their many ballrooms,[breakfast][+],,,,,,,,
c80072,s3,"the staff was extremely welcoming, friendly and helpful",[staff][+],,,,,,,,
c5,s3,"The rooms are very clean, but the decorations feels a bit odd, perhaps it is the colour that are used",[rooms][+],[decoration][-],[color][-],,,,,,
c11291,s1,The overall experience has been a pleasant and enjoyable one,[experience][+],,,,,,,,
c4879,s3,The breakfast was the best,[breakfast][+],,,,,,,,
c50029,s1,Visited this hotel 5 years ago thinking that it is still one of the finest hotel in Cotai with impeccable service at the club lounge,,,,,,,,,
c2090,s6,My husband and I wondered why Conrad Macao hires someone who is so inexperienced and with such poor manner,[staff][-][p],,,,,,,,
c46,s6,The food was international- and very tasty.,[food][+],,,,,,,,
c60103,s1,Spectacular Rooms and Service  Their infinity pool is really spectacular with a 180 degree of Macau Penisular,[Rooms][+],[Service][+],[infinity pool][+],,,,,,
c50326,s2,"Sure the rooms are spacious, but they are average international class hotel rooms, the decor is nothing wow",[rooms][0],[decor][-],,,,,,,
c50328,s8,Lift machanic sound all night long,[Lift machanic][-],,,,,,,,
c50201,s3,"But once you got over the check-in, the stay was decent",[check-in][-],[stay][-],,,,,,,
c10280,s2,We spend over half an hour to check in and spend further hour to wait for a room card,[check in][-],,,,,,,,
c50092,s2,"For business travelers, this is unacceptable",,,,,,,,,
c10962,s4,"Although she didn__ know me, she showed me the Senate Place, the Church of St. Joseph and we ate together Egg Tart",[staff][0][p],,,,,,,,
c60083,s2,F&B:  Japanese buffet choices/ selections are very good,[F&B][+],[Japanese buffet choices][+],,,,,,,
c4165,s2,"First, the room was freezing cold, actually the whole complex was quite chilly, can't imagine the energy it takes to keep the temperature that low",[room][0],,,,,,,,
c60071,s6,"When i got in the room, the view was stunning",[room][0],[view][+],,,,,,,
c17982,s3,Beautiful interiors and a lot of activities restaurants and shops to keep you busy,[interiors][+],[restaurants][+],[shops][+],[activities][+],,,,,
